findingId,situationId
14669001,137971000119104
27836007,161422003
39579001,10839421000119104
40956001,128731000119101
61157009,10995991000119109
65710008,16775141000119108
67198005,285731000119101
67782005,94671000119102
75053002,16360861000119103
88032003,13016361000119101
195069001,131461000119105
195742007,472959005
241937000,118501000119105
266257000,161511000
394659003,837091000000100
398102009,161415006
401303003,285721000119104
401314000,698593009
710575003,140221000119109
10692681000119108,429258006
