conceptId,vtmId,dose,units,term
317315001,13298301000001100,,,Product containing precisely ranitidine bismuth citrate 400 milligram/1 each conventional release oral tablet (clinical drug)
317521003,18037011000001102,,,Product containing precisely dantron 50 milligram and docusate sodium 60 milligram/1 each conventional release oral capsule (clinical drug)
317528009,18037011000001102,,,Product containing precisely dantron 10 milligram/1 milliliter and docusate sodium 12 milligram/1 milliliter conventional release oral suspension (clinical drug)
318121006,18036711000001103,,,Product containing precisely amiloride hydrochloride 2.5 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet (clinical drug)
318575007,18037411000001106,,,Product containing precisely atenolol 50 milligram and chlortalidone 12.5 milligram/1 each conventional release oral tablet (clinical drug)
318806002,18037611000001109,,,Product containing precisely captopril 25 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet (clinical drug)
318807006,18037611000001109,,,Product containing precisely captopril 50 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet (clinical drug)
318959004,10201811000001104,,,Product containing precisely hydrochlorothiazide 12.5 milligram and losartan potassium 50 milligram/1 each conventional release oral tablet (clinical drug)
319429006,13294001000001108,,,Product containing precisely inositol niacinate 500 milligram/1 each conventional release oral tablet (clinical drug)
319430001,13294001000001108,,,Product containing precisely inositol niacinate 750 milligram/1 each conventional release oral tablet (clinical drug)
319431002,13294001000001108,,,Product containing precisely inositol niacinate 200 milligram/1 milliliter conventional release oral suspension (clinical drug)
319978009,10040911000001102,,,Product containing precisely fish derived omega 3 fatty acid 1 gram/1 each conventional release oral capsule (clinical drug)
320775009,9723911000001106,10,mg,Product containing precisely promethazine hydrochloride 10 milligram/1 each conventional release oral tablet (clinical drug)
320776005,9723911000001106,25,mg,Product containing precisely promethazine hydrochloride 25 milligram/1 each conventional release oral tablet (clinical drug)
320935009,13297301000001101,,,Product containing precisely carbocisteine 375 milligram/1 each conventional release oral capsule (clinical drug)
320952008,398833009,,,Menthol+eucalyptus inhalation (product)
321097005,419402000,,,Product containing precisely chloral hydrate 414 milligram/1 each conventional release oral tablet (clinical drug)
321412006,13314711000001103,1,mg,Product containing precisely fluphenazine hydrochloride 1 milligram/1 each conventional release oral tablet (clinical drug)
321413001,13314711000001103,5,mg,Product containing precisely fluphenazine hydrochloride 2.5 milligram/1 each conventional release oral tablet (clinical drug)
321414007,13314711000001103,5,mg,Product containing precisely fluphenazine hydrochloride 5 milligram/1 each conventional release oral tablet (clinical drug)
321941009,108952000,,,Product containing precisely tryptophan 500 milligram/1 each conventional release oral tablet (clinical drug)
322157007,13868511000001100,25,mg,Product containing precisely promethazine teoclate 25 milligram/1 each conventional release oral tablet (clinical drug)
322311000,18035211000001104,,,Product containing precisely dihydrocodeine tartrate 10 milligram and paracetamol 500 milligram/1 each conventional release oral tablet (clinical drug)
322956002,10049011000001109,,,Product containing precisely valproate sodium 200 milligram/1 each gastro-resistant oral tablet (clinical drug)
322957006,10049011000001109,,,Product containing precisely valproate sodium 500 milligram/1 each gastro-resistant oral tablet (clinical drug)
323107008,18036811000001106,,,Product containing precisely benserazide 12.5 milligram and levodopa 50 milligram/1 each conventional release oral capsule (clinical drug)
323108003,18036811000001106,,,Product containing precisely benserazide 25 milligram and levodopa 100 milligram/1 each conventional release oral capsule (clinical drug)
323109006,18036811000001106,,,Product containing precisely benserazide 50 milligram and levodopa 200 milligram/1 each conventional release oral capsule (clinical drug)
323567000,39463011000001107,,,Product containing precisely amoxicillin (as amoxicillin sodium) 500 milligram and clavulanic acid (as clavulanate potassium) 100 milligram/1 vial powder for conventional release solution for injection (clinical drug)
323568005,39463011000001107,,,Product containing precisely amoxicillin (as amoxicillin sodium) 1 gram and clavulanic acid (as clavulanate potassium) 200 milligram/1 vial powder for conventional release solution for injection (clinical drug)
324316009,13292201000001107,,,Product containing precisely sodium fusidate 250 milligram/1 each conventional release oral tablet (clinical drug)
324357002,18037511000001105,,,Product containing precisely sulfamethoxazole 400 milligram and trimethoprim 80 milligram/1 each conventional release oral tablet (clinical drug)
324359004,18037511000001105,,,Product containing precisely sulfamethoxazole 800 milligram and trimethoprim 160 milligram/1 each conventional release oral tablet (clinical drug)
324362001,18037511000001105,,,Product containing precisely sulfamethoxazole 80 milligram/1 milliliter and trimethoprim 16 milligram/1 milliliter conventional release oral suspension (clinical drug)
324896003,13590911000001107,,,Product containing precisely chloroquine phosphate 250 milligram/1 each conventional release oral tablet (clinical drug)
324915004,13816311000001106,,,Product containing precisely quinine bisulfate 300 milligram/1 each conventional release oral tablet (clinical drug)
324919005,13816611000001101,,,Product containing precisely quinine sulfate 200 milligram/1 each conventional release oral tablet (clinical drug)
324920004,13816611000001101,,,Product containing precisely quinine sulfate 300 milligram/1 each conventional release oral tablet (clinical drug)
325287003,13297801000001106,,,Product containing precisely guar gum 5 gram/1 sachet granules for conventional release oral suspension (clinical drug)
325560001,13294101000001109,5,mg,Product containing precisely estropipate 1.5 milligram/1 each conventional release oral tablet (clinical drug)
326325001,412420008,,,Product containing precisely ethinylestradiol 30 microgram and levonorgestrel 250 microgram/1 each conventional release oral tablet (clinical drug)
326326000,412420008,,,Product containing precisely ethinylestradiol 50 microgram and levonorgestrel 250 microgram/1 each conventional release oral tablet (clinical drug)
326341000,412256008,,,Product containing precisely ethinylestradiol 35 microgram and norethisterone 500 microgram/1 each conventional release oral tablet (clinical drug)
327104000,230381000001108,,,Product containing precisely mycophenolate mofetil 250 milligram/1 each conventional release oral capsule (clinical drug)
327106003,230381000001108,,,Product containing precisely mycophenolate mofetil 500 milligram/1 each conventional release oral tablet (clinical drug)
327109005,230381000001108,,,Product containing precisely mycophenolate mofetil (as mycophenolate mofetil hydrochloride) 500 milligram/1 vial powder for conventional release solution for injection (clinical drug)
327243008,13296201000001108,,,Product containing precisely fosfestrol tetrasodium 120 milligram/1 each conventional release oral tablet (clinical drug)
328302009,111138002,,,Glucose powder (product)
328570003,9900511000001105,,,L-Arginine powder (product)
329249000,13297701000001102,50,mg,Product containing precisely nicotinamide 50 milligram/1 each conventional release oral tablet (clinical drug)
329251001,230581000001104,10,mg,Product containing precisely pyridoxine hydrochloride 10 milligram/1 each conventional release oral tablet (clinical drug)
329252008,230581000001104,20,mg,Product containing precisely pyridoxine (as pyridoxine hydrochloride) 20 milligram/1 each conventional release oral tablet (clinical drug)
329253003,230581000001104,50,mg,Product containing precisely pyridoxine hydrochloride 50 milligram/1 each conventional release oral tablet (clinical drug)
329389008,9871311000001105,,,Product containing precisely alpha tocopherol acetate 100 milligram/1 milliliter conventional release oral suspension (clinical drug)
329396005,9871311000001105,50,mg,Product containing precisely alpha tocopherol acetate 50 international unit/1 each conventional release oral tablet (clinical drug)
329475004,230391000001105,,,Product containing precisely sodium phenylbutyrate 500 milligram/1 each conventional release oral tablet (clinical drug)
329476003,230391000001105,,,Product containing precisely sodium phenylbutyrate 940 milligram/1 gram conventional release oral granules (clinical drug)
331050002,12545911000001102,,,Product containing precisely cromoglicate sodium 20 milligram/1 milliliter and xylometazoline hydrochloride 250 microgram/1 milliliter conventional release nasal spray (clinical drug)
331163005,13995911000001107,,,Product containing precisely triamcinolone acetonide 1 milligram/1 gram conventional release oromucosal paste (clinical drug)
331740009,13298401000001108,,,Product containing precisely hydrocortisone acetate 10 milligram/1 gram and sodium fusidate 20 milligram/1 gram conventional release cutaneous ointment (clinical drug)
331995007,14129711000001101,,,Product containing precisely hydrocortisone butyrate 1 milligram/1 gram conventional release cutaneous emulsion (clinical drug)
331996008,34157811000001103,,,Product containing precisely clorquinaldol 30 milligram/1 gram and hydrocortisone butyrate 1 milligram/1 gram conventional release cutaneous ointment (clinical drug)
331997004,34157811000001103,,,Product containing precisely clorquinaldol 30 milligram/1 gram and hydrocortisone butyrate 1 milligram/1 gram conventional release cutaneous cream (clinical drug)
331998009,14129711000001101,,,Product containing precisely hydrocortisone butyrate 1 milligram/1 gram conventional release cutaneous cream (clinical drug)
332000007,14129711000001101,,,Product containing precisely hydrocortisone butyrate 1 milligram/1 gram conventional release cutaneous ointment (clinical drug)
332095007,774480001,,,Product containing precisely allantoin 20 milligram/1 gram and coal tar extract 50 milligram/1 gram conventional release cutaneous lotion (clinical drug)
332096008,774480001,,,Product containing precisely allantoin 20 milligram/1 gram and coal tar extract 50 milligram/1 gram conventional release cutaneous cream (clinical drug)
332376005,13297701000001102,,,Product containing precisely nicotinamide 40 milligram/1 gram conventional release cutaneous gel (clinical drug)
332402005,18036911000001101,,,Product containing precisely cyproterone acetate 2 milligram and ethinylestradiol 35 microgram/1 each conventional release oral tablet (clinical drug)
332829008,13292201000001107,,,Product containing precisely sodium fusidate 20 milligram/1 gram conventional release cutaneous ointment (clinical drug)
332966001,9872111000001103,,,Product containing precisely undecylenic acid 50 milligram/1 gram and zinc undecylenate 200 milligram/1 gram conventional release cutaneous cream (clinical drug)
333340001,9722711000001101,,,Product containing precisely potassium permanganate 1 milligram/1 milliliter conventional release cutaneous solution (clinical drug)
337375002,13292501000001105,,,Product containing precisely sodium iopodate 500 milligram/1 each conventional release oral capsule (clinical drug)
346983006,10046711000001101,,,Product containing precisely heparinoid 2 milligram/1 gram and salicylic acid 20 milligram/1 gram conventional release transdermal cream (clinical drug)
347340000,10046711000001101,,,Product containing precisely heparinoid 2 milligram/1 gram and salicylic acid 20 milligram/1 gram conventional release cutaneous gel (clinical drug)
348476002,9723911000001106,20,mg,Product containing precisely promethazine hydrochloride 20 milligram/1 each conventional release oral tablet (clinical drug)
353857000,13591011000001104,,,Product containing precisely chloroquine sulfate 200 milligram/1 each conventional release oral tablet (clinical drug)
374449003,13296001000001102,,,Product containing precisely pentosan polysulfate sodium 100 milligram/1 each conventional release oral capsule (clinical drug)
374506002,87881000,50,mg,Product containing precisely danazol 50 milligram/1 each conventional release oral capsule (clinical drug)
374506002,87881000,50,mg,Danazol 50mg capsules (product)
375534004,16599711000001108,25,mg,Product containing precisely mepenzolate bromide 25 milligram/1 each conventional release oral tablet (clinical drug)
375899001,13292701000001104,,,Product containing precisely sodium nitroprusside dihydrate 50 milligram/1 vial powder for conventional release solution for injection (clinical drug)
375899001,13292701000001104,,,Product containing precisely sodium nitroprusside dihydrate 50 milligram/1 vial powder for conventional release solution for injection (clinical drug)
376652001,329195003,,,Product containing precisely sevelamer hydrochloride 400 milligram/1 each conventional release oral tablet (clinical drug)
376652001,329195003,,,Sevelamer 400mg tablets (product)
376689003,7336002,50,mg,Product containing precisely trazodone hydrochloride 50 milligram/1 each conventional release oral tablet (clinical drug)
376689003,7336002,50,mg,Trazodone 50mg tablets (product)
376690007,7336002,,,Product containing precisely trazodone hydrochloride 100 milligram/1 each conventional release oral tablet (clinical drug)
376690007,7336002,,,Trazodone 100mg tablets (product)
376816002,77390008,1,mg,Product containing precisely benzatropine mesilate 1 milligram/1 each conventional release oral tablet (clinical drug)
376816002,77390008,1,mg,Benzatropine 1mg tablets (product)
376817006,9902611000001105,,,Product containing precisely monobasic potassium phosphate 500 milligram/1 each conventional release oral tablet (clinical drug)
377147002,19225000,5,mg,Product containing precisely lorazepam 500 microgram/1 each conventional release oral tablet (clinical drug)
377147002,19225000,5,mg,Lorazepam 500microgram tablets (product)
377211005,18037411000001106,,,Product containing precisely atenolol 100 milligram and chlortalidone 25 milligram/1 each conventional release oral tablet (clinical drug)
377216000,18037111000001101,,,Product containing precisely atropine sulfate 25 microgram and diphenoxylate hydrochloride 2.5 milligram/1 each conventional release oral tablet (clinical drug)
377277000,17650711000001102,,,Product containing precisely chlordiazepoxide hydrochloride 5 milligram and clidinium bromide 2.5 milligram/1 each conventional release oral capsule (clinical drug)
377566005,18036711000001103,,,Product containing precisely amiloride hydrochloride 5 milligram and hydrochlorothiazide 50 milligram/1 each conventional release oral tablet (clinical drug)
395497004,10201811000001104,,,Product containing precisely hydrochlorothiazide 25 milligram and losartan potassium 100 milligram/1 each conventional release oral tablet (clinical drug)
395522003,8791801000001107,,,Product containing precisely sodium oxybate 500 milligram/1 milliliter conventional release oral solution (clinical drug)
400584004,10207611000001107,,,Product containing precisely heparinoid 2 milligram/1 gram and lauromacrogol 400 50 milligram/1 gram conventional release rectal ointment (clinical drug)
400772004,13297001000001104,,,Product containing precisely estradiol valerate 2 milligram and medroxyprogesterone 20 milligram/1 each conventional release oral tablet (clinical drug)
400772004,13297001000001104,,,Product containing precisely estradiol valerate 2 milligram and medroxyprogesterone 20 milligram/1 each conventional release oral tablet (clinical drug)
407831007,22636911000001100,,,Product containing precisely fluocinolone acetonide 250 microgram/1 gram and neomycin sulfate 5 milligram/1 gram conventional release cutaneous cream (clinical drug)
407832000,22636911000001100,,,Product containing precisely fluocinolone acetonide 250 microgram/1 gram and neomycin sulfate 5 milligram/1 gram conventional release cutaneous ointment (clinical drug)
408024009,36408311000001108,40,mg,Product containing precisely rosuvastatin (as rosuvastatin calcium) 40 milligram/1 each conventional release oral tablet (clinical drug)
408036003,36408311000001108,10,mg,Product containing precisely rosuvastatin (as rosuvastatin calcium) 10 milligram/1 each conventional release oral tablet (clinical drug)
408037007,36408311000001108,20,mg,Product containing precisely rosuvastatin (as rosuvastatin calcium) 20 milligram/1 each conventional release oral tablet (clinical drug)
408157009,13296801000001109,,,Product containing precisely methyl aminolevulinate (as methyl aminolevulinate hydrochloride) 160 milligram/1 gram conventional release cutaneous cream (clinical drug)
409108001,36408311000001108,5,mg,Product containing precisely rosuvastatin (as rosuvastatin calcium) 5 milligram/1 each conventional release oral tablet (clinical drug)
409184002,13298101000001102,,,Product containing precisely hydrochlorothiazide 12.5 milligram and olmesartan medoxomil 20 milligram/1 each conventional release oral tablet (clinical drug)
409185001,13298101000001102,,,Product containing precisely hydrochlorothiazide 12.5 milligram and olmesartan medoxomil 40 milligram/1 each conventional release oral tablet (clinical drug)
410896007,18037711000001100,,,Product containing precisely hydrochlorothiazide 25 milligram and triamterene 50 milligram/1 each conventional release oral tablet (clinical drug)
412651007,125694008,,,Product containing precisely meloxicam 1.5 milligram/1 milliliter conventional release oral suspension (clinical drug)
