conceptId,term
102002,Hemoglobin Okaloosa (substance)
102002,Hemoglobin Okaloosa (substance)
102002,Hemoglobin Okaloosa (substance)
120006,Ornithine racemase (substance)
125001,Ferrous (59-Fe) sulfate (substance)
125001,Ferrous (59-Fe) sulfate (substance)
126000,Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase (substance)
130002,Hemoglobin Hopkins-II (substance)
130002,Hemoglobin Hopkins-II (substance)
130002,Hemoglobin Hopkins-II (substance)
131003,Dolichyl-phosphate mannosyltransferase (substance)
159002,Ferrocyanide salt (substance)
164003,Phosphoenolpyruvate-protein phosphotransferase (substance)
164003,Phosphoenolpyruvate-protein phosphotransferase (substance)
178002,Uridine diphosphate galactose (substance)
178002,Uridine diphosphate galactose (substance)
178002,Uridine diphosphate galactose (substance)
186002,Human leukocyte antigen Cw9 (substance)
186002,Human leukocyte antigen Cw9 (substance)
186002,Human leukocyte antigen Cw9 (substance)
187006,Cyanocobalamin (57-Co) (substance)
187006,Cyanocobalamin (57-Co) (substance)
200001,Berberine (substance)
217008,Blood group antigen IH (substance)
217008,Blood group antigen IH (substance)
217008,Blood group antigen IH (substance)
231008,3-hydroxyisobutyrate dehydrogenase (substance)
238002,Heptachlor (substance)
261000,Codeine phosphate (substance)
296000,Coumachlor (substance)
322006,Octylphenoxy P.H. ethanol (substance)
327000,Arsenic-76 (substance)
327000,Arsenic-76 (substance)
327000,Arsenic-76 (substance)
329002,Antimony-127 (substance)
329002,Antimony-127 (substance)
329002,Antimony-127 (substance)
336001,Fibrinogen Tokyo II (substance)
340005,Enzyme variant (substance)
363000,Fibrinogen San Juan (substance)
370000,Beta>2S< glycoprotein (substance)
371001,Acylcarnitine hydrolase (substance)
377002,Sparteine (substance)
377002,Sparteine (substance)
392001,Gadolinium-151 (substance)
392001,Gadolinium-151 (substance)
392001,Gadolinium-151 (substance)
395004,Immunoglobulin pentamer (substance)
412004,Ribose-5-phosphate isomerase (substance)
412004,Ribose-5-phosphate isomerase (substance)
412004,Ribose-5-phosphate isomerase (substance)
424006,Citramalyl-coenzyme A lyase (substance)
424006,Citramalyl-coenzyme A lyase (substance)
425007,Hemoglobin Nagoya (substance)
425007,Hemoglobin Nagoya (substance)
425007,Hemoglobin Nagoya (substance)
432003,Carminic acid stain (substance)
432003,Carminic acid stain (substance)
438004,2-hydroxyglutarate dehydrogenase (substance)
462009,Urease (adenosine triphosphate-hydrolysing) (substance)
462009,Urease (adenosine triphosphate-hydrolysing) (substance)
472007,Vegetable textile fiber (substance)
472007,Vegetable textile fiber (substance)
476005,Lymphocyte antigen CD1b (substance)
476005,Lymphocyte antigen CD1b (substance)
476005,Lymphocyte antigen CD1b (substance)
498001,Nitrilase (substance)
501001,Blood group antibody Sf^a^ (substance)
501001,Blood group antibody Sf^a^ (substance)
505005,Blood group antibody M' (substance)
506006,3-oxosteroid delta^1^-dehydrogenase (substance)
515004,Blood group antigen Giaigue (substance)
519005,Free protein S (substance)
521000,Mercury-197 (substance)
521000,Mercury-197 (substance)
521000,Mercury-197 (substance)
529003,Guanosine (substance)
538001,"2,3-dihydroxybenzoate 3,4-dioxygenase (substance)"
538001,"2,3-dihydroxybenzoate 3,4-dioxygenase (substance)"
566009,Acrosin (substance)
576007,Blood group antibody Duck (substance)
578008,Hemoglobin Jianghua (substance)
578008,Hemoglobin Jianghua (substance)
578008,Hemoglobin Jianghua (substance)
584006,Blood group antibody Wr^b^ (substance)
585007,Substance P (substance)
585007,Substance P (substance)
591009,2-oxoisovalerate dehydrogenase (acylating) (substance)
593007,Blood group antibody Holmes (substance)
594001,2-oxoglutarate synthase (substance)
597008,Californium-247 (substance)
597008,Californium-247 (substance)
597008,Californium-247 (substance)
604000,Plant sapogenin glycoside (substance)
604000,Plant sapogenin glycoside (substance)
604000,Plant sapogenin glycoside (substance)
611001,Hippurate hydrolase (substance)
620005,Trichlorophenol (substance)
648005,Oil of calamus (substance)
662003,Aeromonas proteolytica aminopeptidase (substance)
668004,Osmium-185 (substance)
668004,Osmium-185 (substance)
668004,Osmium-185 (substance)
683009,Mercuric acetate (substance)
686001,Plastoquinol-plastocyanin reductase (substance)
693002,Trichothecenes (substance)
693002,Trichothecenes (substance)
693002,Trichothecenes (substance)
698006,Erythromycin lactobionate (substance)
699003,Coal tar extract (substance)
704006,Blood group antigen Rx (substance)
704006,Blood group antigen Rx (substance)
732002,N-valeraldehyde (substance)
735000,Blood group antigen Jobbins (substance)
735000,Blood group antigen Jobbins (substance)
747006,Oxamniquine (substance)
773001,Hemoglobin M-Iwate (substance)
773001,Hemoglobin M-Iwate (substance)
773001,Hemoglobin M-Iwate (substance)
773001,Hemoglobin M-Iwate (substance)
773001,Hemoglobin M-Iwate (substance)
773001,Hemoglobin M-Iwate (substance)
785009,Dextranase (substance)
804003,Creosotic acid (substance)
819002,Lytic antibody (substance)
850000,Stizolobate synthase (substance)
859004,Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase (substance)
859004,Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase (substance)
859004,Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase (substance)
859004,Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase (substance)
859004,Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase (substance)
860009,"Immunoglobulin, aggregated (substance)"
873008,Urethan (substance)
873008,Urethan (substance)
873008,Urethan (substance)
873008,Urethan (substance)
876000,Blood group antigen D (substance)
876000,Blood group antigen D (substance)
876000,Blood group antigen D (substance)
876000,Blood group antigen D (substance)
876000,Blood group antigen D (substance)
877009,Carboxypeptidase A (substance)
877009,Carboxypeptidase A (substance)
889006,(acetyl-coenzyme A carboxylase) kinase (substance)
889006,(acetyl-coenzyme A carboxylase) kinase (substance)
889006,(acetyl-coenzyme A carboxylase) kinase (substance)
889006,(acetyl-coenzyme A carboxylase) kinase (substance)
896008,Ice (substance)
905001,o-Dihydroxycoumarin O^7^-glucosyltransferase (substance)
923009,Complement component C2 (substance)
923009,Complement component C2 (substance)
923009,Complement component C2 (substance)
925002,Sodium iodipamide (substance)
963005,Pyridoxine 4-dehydrogenase (substance)
963005,Pyridoxine 4-dehydrogenase (substance)
974001,Adenosylmethionine decarboxylase (substance)
979006,Carbamate kinase (substance)
993004,Palladium compound (substance)
1002007,Mannotetraose 2-alpha-N-acetylglucosaminyltransferase (substance)
1002007,Mannotetraose 2-alpha-N-acetylglucosaminyltransferase (substance)
1010008,N-Acetylneuraminate monooxygenase (substance)
1018001,Nornicotine (substance)
1025008,Molybdenum-93 (substance)
1025008,Molybdenum-93 (substance)
1025008,Molybdenum-93 (substance)
1047008,Guanine deaminase (substance)
1047008,Guanine deaminase (substance)
1047008,Guanine deaminase (substance)
1050006,Melilotate 3-monooxygenase (substance)
1050006,Melilotate 3-monooxygenase (substance)
1050006,Melilotate 3-monooxygenase (substance)
1065007,E. coli periplasmic proteinase (substance)
1080001,Thallium-202 (substance)
1080001,Thallium-202 (substance)
1080001,Thallium-202 (substance)
1091008,Substance with coagulation factor inhibitor mechanism of action (substance)
1091008,Substance with coagulation factor inhibitor mechanism of action (substance)
1097007,Blood group antigen M^A^ (substance)
1105007,Isochorismate synthase (substance)
1113008,Pancreatic ribonuclease (substance)
1113008,Pancreatic ribonuclease (substance)
1113008,Pancreatic ribonuclease (substance)
1113008,Pancreatic ribonuclease (substance)
1113008,Pancreatic ribonuclease (substance)
1113008,Pancreatic ribonuclease (substance)
1137008,Uranium-240 (substance)
1137008,Uranium-240 (substance)
1137008,Uranium-240 (substance)
1149009,Hemoglobin Barcelona (substance)
1149009,Hemoglobin Barcelona (substance)
1149009,Hemoglobin Barcelona (substance)
1160000,Antibody to antigen in Lutheran blood group system (substance)
1160000,Antibody to antigen in Lutheran blood group system (substance)
1160000,Antibody to antigen in Lutheran blood group system (substance)
1160000,Antibody to antigen in Lutheran blood group system (substance)
1160000,Antibody to antigen in Lutheran blood group system (substance)
1160000,Antibody to antigen in Lutheran blood group system (substance)
1166006,Titanium (substance)
1166006,Titanium (substance)
1169004,Hemoglobin Gower-2 (substance)
1169004,Hemoglobin Gower-2 (substance)
1169004,Hemoglobin Gower-2 (substance)
1169004,Hemoglobin Gower-2 (substance)
1171004,Fibrinogen Kawaguchi (substance)
1185009,Hemoglobin Roseau-Pointe à Pitre (substance)
1185009,Hemoglobin Roseau-Pointe à Pitre (substance)
1185009,Hemoglobin Roseau-Pointe à Pitre (substance)
1185009,Hemoglobin Roseau-Pointe à Pitre (substance)
1185009,Hemoglobin Roseau-Pointe à Pitre (substance)
1189003,Hemoglobin F-M-Osaka (substance)
1189003,Hemoglobin F-M-Osaka (substance)
1189003,Hemoglobin F-M-Osaka (substance)
1190007,Mephenoxalone (substance)
1219001,Diethyl xanthogen disulfide (substance)
1223009,Blood group antigen Marks (substance)
1244009,Fibrinogen Madrid I (substance)
1248007,Leucostoma neutral proteinase (substance)
1269009,Amikacin sulfate (substance)
1269009,Amikacin sulfate (substance)
1272002,Pteridine oxidase (substance)
1273007,Blood group antibody Evelyn (substance)
1313002,Nitrate reductase (cytochrome) (substance)
1319003,Blood group antibody K18 (substance)
1319003,Blood group antibody K18 (substance)
1320009,Hemoglobin Manitoba (substance)
1320009,Hemoglobin Manitoba (substance)
1320009,Hemoglobin Manitoba (substance)
1325004,Metocurine iodide (substance)
1325004,Metocurine iodide (substance)
1331001,Methamidophos (substance)
1334009,Estradiol receptor (substance)
1336006,Deoxycortone (substance)
1336006,Deoxycortone (substance)
1336006,Deoxycortone (substance)
1336006,Deoxycortone (substance)
1341003,Hemoglobin Ta-li (substance)
1341003,Hemoglobin Ta-li (substance)
1341003,Hemoglobin Ta-li (substance)
1346008,Blue shade eosin stain (substance)
1346008,Blue shade eosin stain (substance)
1346008,Blue shade eosin stain (substance)
1355006,Coagulation factor IX Oxford 3 variant (substance)
1355006,Coagulation factor IX Oxford 3 variant (substance)
1355006,Coagulation factor IX Oxford 3 variant (substance)
1368003,Iodine-131 (substance)
1368003,Iodine-131 (substance)
1368003,Iodine-131 (substance)
1371006,Blood group antigen Big (substance)
1373009,Zirconium-93 (substance)
1373009,Zirconium-93 (substance)
1373009,Zirconium-93 (substance)
1381005,Iodine-126 (substance)
1381005,Iodine-126 (substance)
1381005,Iodine-126 (substance)
1394007,Iron pentacarbonyl (substance)
1396009,Actinium (substance)
1405004,Blood group antibody M^e^ (substance)
1408002,Blood group antibody 1123K (substance)
1416006,Radium compound (substance)
1450002,Methylpentynol (substance)
1450002,Methylpentynol (substance)
1450002,Methylpentynol (substance)
1450002,Methylpentynol (substance)
1466000,Cyclomaltodextrinase (substance)
1471007,Elastin (substance)
1472000,Adenosine-phosphate deaminase (substance)
1476002,Codeine sulfate (substance)
1476002,Codeine sulfate (substance)
1477006,Hemoglobin Yatsushiro (substance)
1477006,Hemoglobin Yatsushiro (substance)
1477006,Hemoglobin Yatsushiro (substance)
1496005,Proto-oncogene (substance)
