readcode,medcode,term,symptom_code
196..11,1976,Abdominal pain type,Abdominal_pain
1962.00,7812,Colicky abdominal pain,Abdominal_pain
1963.00,5691,Non-colicky abdominal pain,Abdominal_pain
1968.00,2383,Abdominal discomfort,Abdominal_pain
1969.00,177,Abdominal pain,Abdominal_pain
1969000,29352,Abdominal wall pain,Abdominal_pain
197..13,5960,Site of abdominal pain,Abdominal_pain
197..14,6357,Subcostal pain,Abdominal_pain
1971.00,4617,Central abdominal pain,Abdominal_pain
1972.00,290,Epigastric pain,Abdominal_pain
1973.00,23872,Left subcostal pain,Abdominal_pain
1974.00,24821,Right subcostal pain,Abdominal_pain
197A.00,24661,Generalised abdominal pain,Abdominal_pain
197A.11,11070,General abdominal pain-symptom,Abdominal_pain
197B.00,3978,Upper abdominal pain,Abdominal_pain
197C.00,22608,Lower abdominal pain,Abdominal_pain
25C..00,15180,O/E - abdo. pain on palpation,Abdominal_pain
25C..11,20640,O/E - epigastric pain on palp.,Abdominal_pain
25C..14,17636,O/E - umbilical pain on palp.,Abdominal_pain
25C..15,5782,O/E - abdomen tender,Abdominal_pain
25C2.00,12639,O/E - abd.pain-R.hypochondrium,Abdominal_pain
25C3.00,19223,O/E - abd. pain - epigastrium,Abdominal_pain
25C4.00,37101,O/E - abd.pain-L.hypochondrium,Abdominal_pain
25C5.00,36558,O/E - abd. pain - R.lumbar,Abdominal_pain
25C6.00,24627,O/E - abd. pain - umbilical,Abdominal_pain
25C7.00,25630,O/E - abd. pain - L.lumbar,Abdominal_pain
25C8.00,11647,O/E - abd. pain - R.iliac,Abdominal_pain
25C9.00,42211,O/E - abd. pain - hypogastrium,Abdominal_pain
25CA.00,21583,O/E - abd. pain - L.iliac,Abdominal_pain
25CZ.00,14916,O/E -abd.pain on palpation NOS,Abdominal_pain
R090.00,1763,[D]Abdominal pain,Abdominal_pain
R090100,2056,[D]Abdominal colic,Abdominal_pain
R090200,1239,[D]Colic NOS,Abdominal_pain
R090400,716,[D]Abdominal cramps,Abdominal_pain
R090500,542,[D]Epigastric pain,Abdominal_pain
R090E00,2234,[D]Recurrent acute abdominal pain,Abdominal_pain
R090F00,948,[D]Acute abdomen,Abdominal_pain
R090H00,8436,[D]Upper abdominal pain,Abdominal_pain
R090N00,19283,[D]Nonspecific abdominal pain,Abdominal_pain
R090P00,103540,[D]Functional abdominal pain syndrome,Abdominal_pain
R090y00,31062,[D]Other specified abdominal pain,Abdominal_pain
R090z00,3338,[D]Abdominal pain NOS,Abdominal_pain
R096.00,54385,[D]Acute abdomen,Abdominal_pain
Ryu1000,50662,[X]Pain localized to other parts of lower abdomen,Abdominal_pain
Ryu1100,52402,[X]Other and unspecified abdominal pain,Abdominal_pain
14B1.00,9302,H/O: hay fever,Allergies_angioedema
14M3.00,12239,H/O: multiple allergies,Allergies_angioedema
16J5.00,8963,Facial swelling,Allergies_angioedema
1Z42.00,1000518,Ticagrelor allergy,Allergies_angioedema
1Z43100,1000520,Apixaban allergy,Allergies_angioedema
2227.11,1243,O/E - allergic rash,Allergies_angioedema
2525.00,4881,O/E - lip swelling,Allergies_angioedema
335..11,969,Allergy skin test,Allergies_angioedema
3359.00,19862,Allergy skin test positive,Allergies_angioedema
336..00,2805,Allergy testing NOS,Allergies_angioedema
336..11,17062,Allergy test - not skin,Allergies_angioedema
3361.00,13384,Allergy testing done,Allergies_angioedema
3363.00,15038,Allergy testing - no reaction,Allergies_angioedema
3364.00,21398,Nasal allergy challenge,Allergies_angioedema
3365.00,22763,Bronchial allergy challenge,Allergies_angioedema
3366.00,57372,Subconjunct. allergy challenge,Allergies_angioedema
3367.00,56109,Sublingual allergy challenge,Allergies_angioedema
3368.00,29458,Allergy test positive,Allergies_angioedema
336Z.00,50338,Allergy testing NOS,Allergies_angioedema
43Jj.00,53407,Allergen IgG level,Allergies_angioedema
43We.00,40203,Allergen specific IgG antibody measurement,Allergies_angioedema
43Wi.00,105338,Allergen specific IgE antibody level,Allergies_angioedema
43cB.00,13691,Allergy screening test,Allergies_angioedema
43ie.00,43997,Inhaled allergen mix RAST test,Allergies_angioedema
66G..00,7588,Allergic disorder monitoring,Allergies_angioedema
66G1.00,29331,Allergic dis. initial assessm.,Allergies_angioedema
66G2.00,27760,Allergic dis. follow-up assess,Allergies_angioedema
66G3.00,47919,Allergic dis.- symptom change,Allergies_angioedema
66G5.00,53638,Allergy treatment changed,Allergies_angioedema
66G5.11,52616,Allergy dis.treatment changed,Allergies_angioedema
66G6.00,63703,Allergy dis.treatment started,Allergies_angioedema
66GZ.00,43733,Allergic dis. monitoring NOS,Allergies_angioedema
8HVK000,106195,Private referral to allergy specialist,Allergies_angioedema
8Hld.00,104108,Referral to clinical allergy service,Allergies_angioedema
9NlX.00,104313,Seen by clinical allergy - service,Allergies_angioedema
9b99.00,90519,Clinical immunology/allergy,Allergies_angioedema
9b9W.00,103568,Allergy - specialty,Allergies_angioedema
AB63300,100742,Allergic bronchopulmonary aspergillosis,Allergies_angioedema
D310.00,16556,Allergic purpura,Allergies_angioedema
D310000,1459,Henoch-Schonlein purpura,Allergies_angioedema
D310011,10637,Anaphylactoid purpura,Allergies_angioedema
D310012,41784,Acute vascular purpura,Allergies_angioedema
D310z00,35086,Allergic purpura NOS,Allergies_angioedema
D403300,53414,Allergic eosinophilia,Allergies_angioedema
F4C0600,2011,Acute atopic conjunctivitis,Allergies_angioedema
F4C0611,16676,Acute allergic conjunctivitis,Allergies_angioedema
F4C1400,14688,Other chronic allergic conjunctivitis,Allergies_angioedema
F4C1411,788,Allergic conjunctivitis,Allergies_angioedema
F4D3000,29779,Eczematous eyelid dermatitis,Allergies_angioedema
F4D3100,16832,Contact or allergic eyelid dermatitis,Allergies_angioedema
F4D3111,16685,Allergic dermatitis - eyelid,Allergies_angioedema
F4D3112,15879,Contact eczema - eyelids,Allergies_angioedema
F510400,70788,Acute allergic serous otitis media,Allergies_angioedema
F510500,104056,Acute allergic mucoid otitis media,Allergies_angioedema
F510600,63780,Acute allergic sanguinous otitis media,Allergies_angioedema
F513000,37597,Chronic allergic otitis media,Allergies_angioedema
F514000,29845,Allergic otitis media NOS,Allergies_angioedema
G752.00,20509,Hypersensitivity angiitis,Allergies_angioedema
G752.11,62277,Hypersensitivity arteritis,Allergies_angioedema
G752z00,23569,Hypersensitivity angiitis NOS,Allergies_angioedema
H025.00,6274,Allergic pharyngitis,Allergies_angioedema
H17..00,175,Allergic rhinitis,Allergies_angioedema
H17..12,18572,Allergic rhinosinusitis,Allergies_angioedema
H170.00,1838,Allergic rhinitis due to pollens,Allergies_angioedema
H170.11,121,Hay fever - pollens,Allergies_angioedema
H170.12,24163,Pollinosis,Allergies_angioedema
H171.00,2372,Allergic rhinitis due to other allergens,Allergies_angioedema
H171.14,16134,Hay fever - other allergen,Allergies_angioedema
H172.00,775,Allergic rhinitis due to unspecified allergen,Allergies_angioedema
H172.11,3798,Hay fever - unspecified allergen,Allergies_angioedema
H17z.00,964,Allergic rhinitis NOS,Allergies_angioedema
H330.00,7146,Extrinsic (atopic) asthma,Allergies_angioedema
H330.11,2290,Allergic asthma,Allergies_angioedema
H330.13,15248,Hay fever with asthma,Allergies_angioedema
H330.14,7731,Pollen asthma,Allergies_angioedema
H330011,5627,Hay fever with asthma,Allergies_angioedema
H330111,6707,Extrinsic asthma with asthma attack,Allergies_angioedema
H330z00,45782,Extrinsic asthma NOS,Allergies_angioedema
H331.00,5267,Intrinsic asthma,Allergies_angioedema
H331z00,45073,Intrinsic asthma NOS,Allergies_angioedema
H33zz12,21232,Allergic asthma NEC,Allergies_angioedema
H33zz13,18207,Allergic bronchitis NEC,Allergies_angioedema
H35..00,11312,Extrinsic allergic alveolitis,Allergies_angioedema
H35..11,103637,Hypersensitivity pneumonitis,Allergies_angioedema
H35y.00,51858,Other allergic alveolitis,Allergies_angioedema
H35yz00,55552,Other allergic alveolitis NOS,Allergies_angioedema
H35z.00,46977,Allergic alveolitis and pneumonitis NOS,Allergies_angioedema
H35z000,62442,Allergic extrinsic alveolitis NOS,Allergies_angioedema
H35z100,11833,Hypersensitivity pneumonitis NOS,Allergies_angioedema
H35zz00,53095,Allergic alveolitis and pneumonitis NOS,Allergies_angioedema
Hyu2000,72490,[X]Other seasonal allergic rhinitis,Allergies_angioedema
Hyu2100,47599,[X]Other allergic rhinitis,Allergies_angioedema
J072000,33959,Allergic parotitis,Allergies_angioedema
J154000,33820,Allergic gastritis,Allergies_angioedema
J432.00,12543,Allergic gastroenteritis and colitis,Allergies_angioedema
J432.11,13387,Allergic diarrhoea,Allergies_angioedema
J432000,23603,Allergic gastroenteritis,Allergies_angioedema
J432100,15795,Allergic enteritis,Allergies_angioedema
J432200,20023,Allergic enterocolitis,Allergies_angioedema
J432300,6156,Allergic colitis,Allergies_angioedema
J432z00,3761,Allergic gastroenteritis NOS,Allergies_angioedema
M11..00,13223,Atopic dermatitis and related conditions,Allergies_angioedema
M111.00,1741,Atopic dermatitis/eczema,Allergies_angioedema
M114.00,5869,Allergic (intrinsic) eczema,Allergies_angioedema
M11z.00,6180,Atopic dermatitis NOS,Allergies_angioedema
M123000,63353,Contact dermatitis due to arnica,Allergies_angioedema
M126500,3041,Contact dermatitis due to primrose,Allergies_angioedema
M128.00,334,Allergic contact dermatitis,Allergies_angioedema
M12A200,15310,Solar urticaria,Allergies_angioedema
M280.00,6400,Allergic urticaria,Allergies_angioedema
M281.00,8948,Idiopathic urticaria,Allergies_angioedema
M282000,7651,Cold urticaria,Allergies_angioedema
M285.00,9041,Cholinergic urticaria,Allergies_angioedema
Myu2300,59742,[X]Allergic contact dermatitis due to other agents,Allergies_angioedema
N062.00,23806,Allergic arthritis,Allergies_angioedema
N062000,15335,Allergic arthritis of unspecified site,Allergies_angioedema
N062100,56249,Allergic arthritis of the shoulder region,Allergies_angioedema
N062200,1007483,Allergic arthritis of the upper arm,Allergies_angioedema
N062300,96404,Allergic arthritis of the forearm,Allergies_angioedema
N062400,65580,Allergic arthritis of the hand,Allergies_angioedema
N062500,1007484,Allergic arthritis of the pelvic region and thigh,Allergies_angioedema
N062600,73778,Allergic arthritis of the lower leg,Allergies_angioedema
N062700,57725,Allergic arthritis of the ankle and foot,Allergies_angioedema
N062800,73749,Allergic arthritis of other specified site,Allergies_angioedema
N062900,72240,Allergic arthritis of multiple sites,Allergies_angioedema
N062z00,29465,Allergic arthritis NOS,Allergies_angioedema
R042011,744,[D]Swelling face,Allergies_angioedema
SN51.00,4173,Angioneurotic oedema,Allergies_angioedema
SN51.11,78446,Angioedema,Allergies_angioedema
SN53.00,620,"Allergy, unspecified",Allergies_angioedema
SN53000,1275,Allergic reaction,Allergies_angioedema
SN5B.00,1009683,Allergy to stainless steel,Allergies_angioedema
ZL18200,30157,Under care of clinical allergist,Allergies_angioedema
ZL5A600,18870,Referral to clinical allergist,Allergies_angioedema
ZL9A200,11306,Seen by clinical allergist,Allergies_angioedema
ZLE6100,36743,Discharge from clinical allergy service,Allergies_angioedema
ZV72711,6755,[V]Allergy test,Allergies_angioedema
1612.00,7608,Appetite loss - anorexia,Anorexia
1612.11,7744,Anorexia symptom,Anorexia
1612.12,6607,Loss of appetite - symptom,Anorexia
1615.00,13081,Reduced appetite,Anorexia
E275600,22820,Non-organic loss of appetite,Anorexia
Eu50y12,17203,[X]Psychogenic loss of appetite,Anorexia
R030.00,912,[D]Anorexia,Anorexia
R030000,1855,[D]Appetite loss,Anorexia
R030z00,53746,[D]Anorexia NOS,Anorexia
1B45.00,25122,Anosmia - loss of smell sense,Anosmia
1B45.11,7088,C/O - anosmia,Anosmia
1B45.12,7450,C/O - loss of smell sense,Anosmia
2BP3.00,25678,O/E - anosmia,Anosmia
R011.00,10580,[D]Smell and taste disorder,Anosmia
R011000,1718,[D]Anosmia,Anosmia
R011z00,15652,[D]Smell or taste disorder NOS,Anosmia
Ryu5200,109563,[X]Other and unspecified disturbances of smell and taste,Anosmia
Z7C2411,56698,Unable to recognise smells,Anosmia
ZV41500,29823,[V]Problem with smell or taste,Anosmia
1465.00,2716,H/O: depression,Anxiety_depression
1466.00,3407,H/O: anxiety state,Anxiety_depression
16ZB100,101422,Feeling low or worried,Anxiety_depression
173f.00,107410,Anxiety about breathlessness,Anxiety_depression
1B1..00,3328,General nervous symptoms,Anxiety_depression
1B12.00,29608,'Nerves' - nervousness,Anxiety_depression
1B12.11,3586,'Nerves',Anxiety_depression
1B12.12,514,Tension - nervous,Anxiety_depression
1B13.00,131,Anxiousness,Anxiety_depression
1B13.11,5902,Anxiousness - symptom,Anxiety_depression
1B13.12,93401,Anxious,Anxiety_depression
1B17.00,1996,Depressed,Anxiety_depression
1B17.11,4824,C/O - feeling depressed,Anxiety_depression
1B1U.00,9796,Symptoms of depression,Anxiety_depression
1B1U.11,10438,Depressive symptoms,Anxiety_depression
1B1V.00,11890,C/O - panic attack,Anxiety_depression
1B1Z.00,20089,General nervous symptom NOS,Anxiety_depression
1BP..00,30740,Loss of interest,Anxiety_depression
1BP0.00,59869,Loss of interest in previously enjoyable activity,Anxiety_depression
1BQ..00,25435,Loss of capacity for enjoyment,Anxiety_depression
1BT..00,10015,Depressed mood,Anxiety_depression
1BT..11,8928,Low mood,Anxiety_depression
1BT..12,26028,Sad mood,Anxiety_depression
2257.00,1908,O/E - depressed,Anxiety_depression
225J.00,19000,O/E - panic attack,Anxiety_depression
32E4.00,42104,ECG: S-T depression,Anxiety_depression
8BK0.00,44848,Depression management programme,Anxiety_depression
8CAZ000,108107,Patient given advice about management of anxiety,Anxiety_depression
8CAa.00,30483,Patient given advice about management of depression,Anxiety_depression
8HHp.00,28925,Referral for guided self-help for anxiety,Anxiety_depression
8HHq.00,32841,Referral for guided self-help for depression,Anxiety_depression
8HHq000,1003960,Referral for depression self-help video,Anxiety_depression
8IH5200,1004067,Referral for guided self-help for depression declined,Anxiety_depression
8IH5300,1004068,Referral for guided self-help for anxiety declined,Anxiety_depression
8IH5700,1004070,Referral for psychological management of anxiety declined,Anxiety_depression
8T23.00,111085,"",Anxiety_depression
9H90.00,12399,Depression annual review,Anxiety_depression
9H91.00,12122,Depression medication review,Anxiety_depression
9H92.00,30405,Depression interim review,Anxiety_depression
9HA0.00,42931,On depression register,Anxiety_depression
9Ov..00,51258,Depression monitoring administration,Anxiety_depression
9Ov0.00,71009,Depression monitoring first letter,Anxiety_depression
9Ov1.00,72966,Depression monitoring second letter,Anxiety_depression
9Ov2.00,91105,Depression monitoring third letter,Anxiety_depression
9Ov3.00,88644,Depression monitoring verbal invite,Anxiety_depression
9Ov4.00,85852,Depression monitoring telephone invite,Anxiety_depression
9hC..00,48970,Exception reporting: depression quality indicators,Anxiety_depression
9hC0.00,28970,Excepted from depression quality indicators: Patient unsuita,Anxiety_depression
9hC1.00,43239,Excepted from depression quality indicators: Informed dissen,Anxiety_depression
9k4..00,30583,Depression - enhanced services administration,Anxiety_depression
9k40.00,65435,Depression - enhanced service completed,Anxiety_depression
9kQ..00,96995,On full dose long term treatment depression - enh serv admin,Anxiety_depression
9kQ..11,1004683,On full dose long term treatment for depression,Anxiety_depression
E001300,27677,Presenile dementia with depression,Anxiety_depression
E002.00,44674,Senile dementia with depressive or paranoid features,Anxiety_depression
E002100,21887,Senile dementia with depression,Anxiety_depression
E002z00,41089,Senile dementia with depressive or paranoid features NOS,Anxiety_depression
E004300,43292,Arteriosclerotic dementia with depression,Anxiety_depression
E02y300,46244,Drug-induced depressive state,Anxiety_depression
E11..12,2560,Depressive psychoses,Anxiety_depression
E112.00,10610,Single major depressive episode,Anxiety_depression
E112.11,5879,Agitated depression,Anxiety_depression
E112.12,6546,Endogenous depression first episode,Anxiety_depression
E112.13,6950,Endogenous depression first episode,Anxiety_depression
E112.14,595,Endogenous depression,Anxiety_depression
E112000,34390,"Single major depressive episode, unspecified",Anxiety_depression
E112100,16506,"Single major depressive episode, mild",Anxiety_depression
E112200,15155,"Single major depressive episode, moderate",Anxiety_depression
E112300,15219,"Single major depressive episode, severe, without psychosis",Anxiety_depression
E112500,43324,"Single major depressive episode, partial or unspec remission",Anxiety_depression
E112600,57409,"Single major depressive episode, in full remission",Anxiety_depression
E112z00,7011,Single major depressive episode NOS,Anxiety_depression
E113.00,15099,Recurrent major depressive episode,Anxiety_depression
E113.11,6932,Endogenous depression - recurrent,Anxiety_depression
E113000,35671,"Recurrent major depressive episodes, unspecified",Anxiety_depression
E113100,29342,"Recurrent major depressive episodes, mild",Anxiety_depression
E113200,14709,"Recurrent major depressive episodes, moderate",Anxiety_depression
E113500,56273,"Recurrent major depressive episodes,partial/unspec remission",Anxiety_depression
E113600,55384,"Recurrent major depressive episodes, in full remission",Anxiety_depression
E113700,6482,Recurrent depression,Anxiety_depression
E113z00,25563,Recurrent major depressive episode NOS,Anxiety_depression
E115.00,4677,"Bipolar affective disorder, currently depressed",Anxiety_depression
E115.11,12831,Manic-depressive - now depressed,Anxiety_depression
E115000,15923,"Bipolar affective disorder, currently depressed, unspecified",Anxiety_depression
E115z00,37296,"Bipolar affective disorder, currently depressed, NOS",Anxiety_depression
E118.00,10825,Seasonal affective disorder,Anxiety_depression
E11y200,27491,Atypical depressive disorder,Anxiety_depression
E11z200,9183,Masked depression,Anxiety_depression
E135.00,1055,Agitated depression,Anxiety_depression
E200.00,636,Anxiety states,Anxiety_depression
E200000,6939,Anxiety state unspecified,Anxiety_depression
E200100,4069,Panic disorder,Anxiety_depression
E200111,462,Panic attack,Anxiety_depression
E200200,4659,Generalised anxiety disorder,Anxiety_depression
E200300,655,Anxiety with depression,Anxiety_depression
E200400,1758,Chronic anxiety,Anxiety_depression
E200500,4634,Recurrent anxiety,Anxiety_depression
E200z00,4534,Anxiety state NOS,Anxiety_depression
E202.00,1907,Phobic disorders,Anxiety_depression
E202.11,16638,Social phobic disorders,Anxiety_depression
E202.12,9944,Phobic anxiety,Anxiety_depression
E202z00,14729,Phobic disorder NOS,Anxiety_depression
E204.00,1131,Neurotic depression reactive type,Anxiety_depression
E205.00,3361,Neurasthenia - nervous debility,Anxiety_depression
E205.11,1582,Nervous exhaustion,Anxiety_depression
E211200,10455,Depressive personality disorder,Anxiety_depression
E227200,809,Frigidity,Anxiety_depression
E274900,2129,Nightmares,Anxiety_depression
E292000,6221,Separation anxiety disorder,Anxiety_depression
E292400,56924,Adjustment reaction with anxious mood,Anxiety_depression
E2B..00,324,Depressive disorder NEC,Anxiety_depression
E2B0.00,2972,Postviral depression,Anxiety_depression
E2B1.00,4323,Chronic depression,Anxiety_depression
Eu02z16,27759,"[X] Senile dementia, depressed or paranoid type",Anxiety_depression
Eu05400,20773,[X]Organic anxiety disorder,Anxiety_depression
Eu32.00,4639,[X]Depressive episode,Anxiety_depression
Eu32.11,9055,[X]Single episode of depressive reaction,Anxiety_depression
Eu32.12,18510,[X]Single episode of psychogenic depression,Anxiety_depression
Eu32.13,7604,[X]Single episode of reactive depression,Anxiety_depression
Eu32000,11717,[X]Mild depressive episode,Anxiety_depression
Eu32100,9211,[X]Moderate depressive episode,Anxiety_depression
Eu32200,9667,[X]Severe depressive episode without psychotic symptoms,Anxiety_depression
Eu32211,41989,[X]Single episode agitated depressn w'out psychotic symptoms,Anxiety_depression
Eu32212,22806,[X]Single episode major depression w'out psychotic symptoms,Anxiety_depression
Eu32213,59386,[X]Single episode vital depression w'out psychotic symptoms,Anxiety_depression
Eu32400,10667,[X]Mild depression,Anxiety_depression
Eu32500,98346,"[X]Major depression, mild",Anxiety_depression
Eu32600,98252,"[X]Major depression, moderately severe",Anxiety_depression
Eu32y00,6854,[X]Other depressive episodes,Anxiety_depression
Eu32y11,10720,[X]Atypical depression,Anxiety_depression
Eu32y12,56609,[X]Single episode of masked depression NOS,Anxiety_depression
Eu32z00,2970,"[X]Depressive episode, unspecified",Anxiety_depression
Eu32z11,543,[X]Depression NOS,Anxiety_depression
Eu32z12,3291,[X]Depressive disorder NOS,Anxiety_depression
Eu32z13,28248,[X]Prolonged single episode of reactive depression,Anxiety_depression
Eu32z14,5987,[X] Reactive depression NOS,Anxiety_depression
Eu33.00,3292,[X]Recurrent depressive disorder,Anxiety_depression
Eu33.11,8851,[X]Recurrent episodes of depressive reaction,Anxiety_depression
Eu33.12,19696,[X]Recurrent episodes of psychogenic depression,Anxiety_depression
Eu33.13,8902,[X]Recurrent episodes of reactive depression,Anxiety_depression
Eu33.14,28756,[X]Seasonal depressive disorder,Anxiety_depression
Eu33.15,8826,[X]SAD - Seasonal affective disorder,Anxiety_depression
Eu33000,29784,"[X]Recurrent depressive disorder, current episode mild",Anxiety_depression
Eu33100,29520,"[X]Recurrent depressive disorder, current episode moderate",Anxiety_depression
Eu33200,33469,[X]Recurr depress disorder cur epi severe without psyc sympt,Anxiety_depression
Eu33211,11329,[X]Endogenous depression without psychotic symptoms,Anxiety_depression
Eu33212,11252,"[X]Major depression, recurrent without psychotic symptoms",Anxiety_depression
Eu33214,73991,"[X]Vital depression, recurrent without psychotic symptoms",Anxiety_depression
Eu33400,22116,"[X]Recurrent depressive disorder, currently in remission",Anxiety_depression
Eu33y00,47731,[X]Other recurrent depressive disorders,Anxiety_depression
Eu33z00,44300,"[X]Recurrent depressive disorder, unspecified",Anxiety_depression
Eu33z11,36616,[X]Monopolar depression NOS,Anxiety_depression
Eu34100,7953,[X]Dysthymia,Anxiety_depression
Eu34111,8584,[X]Depressive neurosis,Anxiety_depression
Eu34112,10290,[X]Depressive personality disorder,Anxiety_depression
Eu34113,7737,[X]Neurotic depression,Anxiety_depression
Eu34114,15220,[X]Persistant anxiety depression,Anxiety_depression
Eu3y111,19054,[X]Recurrent brief depressive episodes,Anxiety_depression
Eu40.00,9386,[X]Phobic anxiety disorders,Anxiety_depression
Eu40100,11602,[X]Social phobias,Anxiety_depression
Eu40111,1005946,[X]Anthropophobia,Anxiety_depression
Eu40112,42788,[X]Social neurosis,Anxiety_depression
Eu40214,12635,[X]Simple phobia,Anxiety_depression
Eu40y00,27685,[X]Other phobic anxiety disorders,Anxiety_depression
Eu40z00,34064,"[X]Phobic anxiety disorder, unspecified",Anxiety_depression
Eu40z11,7222,[X]Phobia NOS,Anxiety_depression
Eu40z12,67898,[X]Phobic state NOS,Anxiety_depression
Eu41.00,5385,[X]Other anxiety disorders,Anxiety_depression
Eu41000,8205,[X]Panic disorder [episodic paroxysmal anxiety],Anxiety_depression
Eu41011,6408,[X]Panic attack,Anxiety_depression
Eu41012,4081,[X]Panic state,Anxiety_depression
Eu41100,10344,[X]Generalized anxiety disorder,Anxiety_depression
Eu41111,962,[X]Anxiety neurosis,Anxiety_depression
Eu41112,35825,[X]Anxiety reaction,Anxiety_depression
Eu41113,50191,[X]Anxiety state,Anxiety_depression
Eu41200,11913,[X]Mixed anxiety and depressive disorder,Anxiety_depression
Eu41211,7749,[X]Mild anxiety depression,Anxiety_depression
Eu41300,44321,[X]Other mixed anxiety disorders,Anxiety_depression
Eu41y00,24066,[X]Other specified anxiety disorders,Anxiety_depression
Eu41y11,28167,[X]Anxiety hysteria,Anxiety_depression
Eu41z00,23838,"[X]Anxiety disorder, unspecified",Anxiety_depression
Eu41z11,25638,[X]Anxiety NOS,Anxiety_depression
Eu46000,16561,[X]Neurasthenia,Anxiety_depression
Eu51500,44305,[X]Nightmares,Anxiety_depression
Eu51511,17687,[X]Dream anxiety disorder,Anxiety_depression
Eu52000,28283,[X]Lack or loss of sexual desire,Anxiety_depression
Eu52011,48175,[X]Frigidity,Anxiety_depression
Eu52012,56603,[X]Hypoactive sexual desire disorder,Anxiety_depression
Eu52100,42056,[X]Sexual aversion and lack of sexual enjoyment,Anxiety_depression
Eu52111,24483,[X]Anhedonia sexual,Anxiety_depression
