cui,name,ontologies,name_status
140004,chronic pharyngitis,SNO,P
140004,chronic sore throat,SNO,A
330007,occipital headache,SNO,P
490008,upper respiratory tract hypersensitivity reaction,SNO,P
586008,contact dermatitis caused by primula obconica,SNO,P
586008,contact dermatitis caused by poison primrose,SNO,A
586008,contact dermatitis caused by german primrose,SNO,A
596004,premenstrual dysphoric disorder,SNO,P
815008,episcleritis,SNO,P
832007,moderate major depression,SNO,P
1070000,facial myokymia (muscle quivering),SNO,P
1070000,facial myokymia,SNO,A
1763009,ik - interstitial keratitis,SNO,P
1763009,interstitial keratitis,SNO,A
1763009,stromal keratitis,SNO,A
1824008,allergic gastritis,SNO,P
2237002,painful breathing -pleurodynia,SNO,P
2237002,pleuritic pain,SNO,A
2237002,pleural pain,SNO,A
2237002,pleurodynia,SNO,A
2237002,pleuralgia,SNO,A
2365002,chronic granular pharyngitis,SNO,P
2365002,simple chronic pharyngitis,SNO,A
2365002,granular pharyngitis,SNO,A
2367005,acute haemorrhagic gastritis,SNO,P
2367005,acute hemorrhagic gastritis,SNO,A
2733002,heel pain,SNO,P
2733002,talalgia,SNO,A
3014005,autosensitization dermatitis,SNO,P
3014005,autosensitisation dermatitis,SNO,A
3014005,cutaneous autosensitisation,SNO,A
3014005,cutaneous autosensitization,SNO,A
3014005,sensitization dermatitis,SNO,A
3014005,sensitisation dermatitis,SNO,A
3014005,autoeczematisation,SNO,A
3014005,autoeczematization,SNO,A
3014005,id reaction,SNO,A
3424008,increased heart rate,SNO,P
3424008,rapid heart beat,SNO,A
3424008,heart rate fast,SNO,A
3424008,tachycardia,SNO,A
4275001,spasm of conjugate gaze,SNO,P
4275001,conjugate gaze spasm,SNO,A
4373005,increased curvature of nails,SNO,P
4373005,hippocratic nails,SNO,A
4373005,clubbing of nail,SNO,A
4373005,hippocratic nail,SNO,A
4373005,club nail,SNO,A
4448006,allergic headache,SNO,P
4473006,migraine with aura,SNO,P
4473006,classical migraine,SNO,A
4556007,gastric catarrh,SNO,P
4556007,gastritis,SNO,A
4568003,retrosternal chest pain,SNO,P
4568003,retrosternal pain,SNO,A
4969004,sinus headache,SNO,P
5332004,vertical spasm of gaze,SNO,P
5332004,oculogyric crisis,SNO,A
5860009,ophiasic alopecia areata,SNO,P
5860009,ophiasis,SNO,A
5888003,keratitis,SNO,P
5972002,delay when starting to pass urine,SNO,P
5972002,hesitancy of micturition,SNO,A
5972002,urinary hesitation,SNO,A
5972002,urinary hesitancy,SNO,A
5972002,hesitancy,SNO,A
6273006,pathologic erection,SNO,P
6273006,mentulagra,SNO,A
6273006,priapism,SNO,A
6456007,svt - supraventricular tachycardia,SNO,P
6456007,supraventricular tachycardia,SNO,A
6497000,decreased bmi (body mass index),SNO,P
6497000,decreased body mass index,SNO,A
6561007,pain in urethra,SNO,P
6561007,urethral pain,SNO,A
6561007,urethrodynia,SNO,A
6561007,urethralgia,SNO,A
6869001,recurrent iridocyclitis,SNO,P
6869001,periodic ophthalmia,SNO,A
6950007,dyspraxia,SNO,P
7011001,hallucinations,SNO,P
7520000,puo - pyrexia of unknown origin,SNO,P
7520000,pyrexia of unknown origin,SNO,A
7520000,fever of unknown origin,SNO,A
7520000,f.u.o.,SNO,A
7674000,gtps - greater trochanteric pain syndrome,SNO,P
7674000,greater trochanteric pain syndrome,SNO,A
7674000,trochanteric bursitis,SNO,A
8009008,nocturnal incontinence of urine,SNO,P
8009008,nocturnal enuresis,SNO,A
8009008,bed wetting,SNO,A
8009008,bedwetting,SNO,A
8009008,wets bed,SNO,A
8011004,dysarthria,SNO,P
8034008,painful penile erection,SNO,P
8034008,painful erection,SNO,A
8211008,simple chronic conjunctivitis,SNO,P
8326008,acute allergic mucoid otitis media,SNO,P
8493009,cg - chronic gastritis,SNO,P
8493009,chronic gastritis,SNO,A
8579004,projectile vomiting,SNO,P
8641003,cutaneous basophil hypersensitivity,SNO,P
8641003,jones-mote type hypersensitivity,SNO,A
8691004,acquired ichthyosis,SNO,P
8765009,vomiting of blood,SNO,P
8765009,vomiting blood,SNO,A
8765009,haematemesis,SNO,A
8765009,hematemesis,SNO,A
8913004,primary physiologic amenorrhoea,SNO,P
8913004,primary physiologic amenorrhea,SNO,A
8955008,mucopurulent sputum,SNO,P
9209005,acute abdominal pain syndrome,SNO,P
9209005,surgical abdomen,SNO,A
9209005,acute abdomen,SNO,A
9748009,dyskinesia,SNO,P
9768003,tuberculosis cutis lichenoides,SNO,P
9768003,tuberculosis lichenoides,SNO,A
9768003,lichen scrofulosorum,SNO,A
9826008,inflammation of conjunctiva,SNO,P
9826008,pink eye disease,SNO,A
9826008,conjunctivitis,SNO,A
9991008,spasmodic abdominal pain,SNO,P
9991008,colicky abdominal pain,SNO,A
9991008,intestinal colic,SNO,A
9991008,abdominal colic,SNO,A
9991008,colic,SNO,A
10085004,pain in ball of foot,SNO,P
10085004,metatarsalgia,SNO,A
10601006,pain in lower limb,SNO,P
10803007,jarisch herxheimer reaction,SNO,P
11092001,sinus tachycardia,SNO,P
11114002,sore gums - symptom,SNO,P
11114002,gingival pain,SNO,A
11114002,painful gums,SNO,A
11114002,sore gums,SNO,A
11114002,gum pain,SNO,A
11354005,tuberculous erythema induratum,SNO,P
11354005,tuberculosis cutis indurativa,SNO,A
11354005,tuberculous bazin's disease,SNO,A
11354005,bazin's disease,SNO,A
11806006,separation anxiety disorder of childhood,SNO,P
11806006,separation anxiety disorder,SNO,A
11833005,non-productive cough,SNO,P
11833005,unproductive cough,SNO,A
11833005,dry cough,SNO,A
12026006,essential paroxysmal tachycardia,SNO,P
12026006,pt - paroxysmal tachycardia,SNO,A
12026006,bouveret-hoffmann syndrome,SNO,A
12026006,paroxysmal tachycardia,SNO,A
12262002,tossing and turning during sleep,SNO,P
12262002,tosses and turns in sleep,SNO,A
12262002,restless sleep,SNO,A
12263007,ige homocytotropic antibody reaction,SNO,P
12263007,hypersensitivity reaction type i,SNO,A
12263007,type 1 hypersensitivity response,SNO,A
12263007,gell and coombs reaction type i,SNO,A
12263007,type i reaction,SNO,A
12336008,"ear pain, referred",SNO,P
12336008,referred otalgia,SNO,A
12584003,osteodynia,SNO,P
12584003,bone pain,SNO,A
12630008,primary iridocyclitis,SNO,P
13059002,congenital ichthyosis of skin,SNO,P
13059002,congenital ichthyosis,SNO,A
13059002,ichthyosis congenita,SNO,A
13059002,fish scale disease,SNO,A
13059002,fish skin,SNO,A
13082000,diaphragmatic pleurisy,SNO,P
13445001,ménière's syndrome,SNO,P
13445001,ménière's disease,SNO,A
13445001,ménière's vertigo,SNO,A
13445001,auditory vertigo,SNO,A
13445001,otogenic vertigo,SNO,A
13445001,meniere syndrome,SNO,A
13445001,meniere disorder,SNO,A
13445001,menieres disease,SNO,A
13445001,meniere disease,SNO,A
13445001,aural vertigo,SNO,A
13791008,weakness - general,SNO,P
13791008,general weakness,SNO,A
13791008,feeling weak,SNO,A
13791008,lassitude,SNO,A
13791008,asthenia,SNO,A
13791008,debility,SNO,A
13791008,weakness,SNO,A
14302001,absence of menstruation,SNO,P
14302001,amenorrhoea,SNO,A
14302001,amenorrhea,SNO,A
14589007,allergic reaction to lens protein,SNO,P
14589007,phacoanaphylaxis,SNO,A
14654002,localized anaphylaxis,SNO,P
14654002,localised anaphylaxis,SNO,A
14760008,difficulty opening bowels,SNO,P
14760008,difficulty passing stool,SNO,A
14760008,difficult passing motion,SNO,A
14760008,difficulty defaecating,SNO,A
14760008,difficulty defecating,SNO,A
14760008,cn - constipation,SNO,A
14760008,constipation,SNO,A
14760008,costiveness,SNO,A
14760008,constipated,SNO,A
14884007,primary oligomenorrhoea,SNO,P
14884007,primary oligomenorrhea,SNO,A
15013002,vitreous floaters,SNO,P
15013002,muscae volitantes,SNO,A
15013002,musca volitans,SNO,A
15188001,hi - hearing impairment,SNO,P
15188001,hoh - hard of hearing,SNO,A
15188001,hearing impairment,SNO,A
15188001,difficulty hearing,SNO,A
15188001,hl - hearing loss,SNO,A
15188001,impaired hearing,SNO,A
15188001,hearing impaired,SNO,A
15188001,hard of hearing,SNO,A
15188001,hearing loss,SNO,A
15188001,hypoacusis,SNO,A
15250008,disorder of cornea,SNO,P
15250008,corneal disorder,SNO,A
15510009,increased frequency of defaecation,SNO,P
15510009,increased frequency of defecation,SNO,A
15639000,"moderate major depression, single episode",SNO,P
15803009,urinary bladder pain,SNO,P
15803009,bladder pain,SNO,A
15803009,vesical pain,SNO,A
16001004,pain in ear,SNO,P
16001004,ear ache,SNO,A
16001004,ear pain,SNO,A
16001004,otalgia,SNO,A
16001004,earache,SNO,A
16269008,paroxysmal nerve pain,SNO,P
16269008,neuralgia,SNO,A
16331000,heartburn symptom,SNO,P
16331000,burning reflux,SNO,A
16331000,heartburn,SNO,A
16331000,pyrosis,SNO,A
16341002,poikiloderma atrophicans vasculare,SNO,P
16341002,poikiloderma vasculare atrophicans,SNO,A
16341002,poikilodermic parapsoriasis,SNO,A
16341002,parapsoriasis lichenoides,SNO,A
16341002,parapsoriasis variegata,SNO,A
16844001,painful urging to urinate,SNO,P
16844001,spastic dysuria,SNO,A
16844001,stranguria,SNO,A
16932000,n&v - nausea and vomiting,SNO,P
16932000,n+v - nausea and vomiting,SNO,A
16932000,nausea and vomiting,SNO,A
16935003,allergic arthritis,SNO,P
17048005,contusion of toenail,SNO,P
17048005,toenail bruise,SNO,A
17173007,desperate to drink,SNO,P
17173007,excessive thirst,SNO,A
17173007,keen for fluids,SNO,A
17173007,always thirsty,SNO,A
17440005,anal spasm,SNO,P
17496003,organic anxiety disorder,SNO,P
17790008,disorder of nail,SNO,P
17790008,nail disease,SNO,A
17842005,invents experiences to compensate for loss of memory,SNO,P
17842005,confabulation,SNO,A
17866004,acute allergic sanguinous otitis media,SNO,P
17974002,post-herpetic trigeminal neuralgia,SNO,P
17986004,barking cough,SNO,P
18726006,senile asthenia,SNO,P
18726006,senile debility,SNO,A
18773000,cyclical vomiting syndrome,SNO,P
18773000,periodic vomiting,SNO,A
18773000,cyclical vomiting,SNO,A
18876004,pain in finger,SNO,P
18876004,finger pain,SNO,A
18963009,emotional instability,SNO,P
18963009,emotional lability,SNO,A
18963009,emotionally labile,SNO,A
18963009,changeable mood,SNO,A
18963009,labile in mood,SNO,A
18963009,variable mood,SNO,A
18963009,unstable mood,SNO,A
18963009,mood swings,SNO,A
18963009,labile mood,SNO,A
18963009,mood swing,SNO,A
19213003,infectious diarrhoeal disease,SNO,P
19213003,infectious diarrheal disease,SNO,A
19213003,infectious diarrhoea,SNO,A
19213003,infectious diarrhea,SNO,A
19213003,infective diarrhoea,SNO,A
19213003,infective diarrhea,SNO,A
19282004,cough on exercise,SNO,P
19471005,inflammation of lymph node,SNO,P
19471005,lymphadenitis,SNO,A
19471005,adenitis,SNO,A
19527009,"major depression, single episode, in complete remission",SNO,P
19527009,single episode of major depression in full remission,SNO,A
19527009,"major depression, single episode, in full remission",SNO,A
19657006,disturbance of orientation in time,SNO,P
19657006,disorientated in time,SNO,A
19754005,total alopecia areata,SNO,P
19754005,alopecia totalis,SNO,A
20301004,dysphasia,SNO,P
20425006,central vestibular vertigo,SNO,P
20425006,labyrinthine disorder,SNO,A
20425006,labyrinthine vertigo,SNO,A
20425006,vestibular disorder,SNO,A
20502007,pain of scrotum,SNO,P
20502007,pain in scrotum,SNO,A
20502007,scrotal pain,SNO,A
21112004,vascular haemostatic disease,SNO,P
21112004,vascular hemostatic disease,SNO,A
21112004,vascular purpura,SNO,A
21522001,ap - abdominal pain,SNO,P
21522001,abdominal pain,SNO,A
21897009,gad - generalized anxiety disorder,SNO,P
21897009,gad - generalised anxiety disorder,SNO,A
21897009,generalized anxiety disorder,SNO,A
21897009,generalised anxiety disorder,SNO,A
22199006,hereditary osteo-onychodysplasia,SNO,P
22199006,turner kieser syndrome,SNO,A
22199006,nail-patella syndrome,SNO,A
22199006,nail patella syndrome,SNO,A
22199006,onychoosteodysplasia,SNO,A
22220005,gsi - genuine stress incontinence,SNO,P
22220005,stress bladder incontinence,SNO,A
22220005,incontinence when straining,SNO,A
22220005,urinary stress incontinence,SNO,A
22220005,genuine stress incontinence,SNO,A
22220005,stress urinary incontinence,SNO,A
22220005,si - stress incontinence,SNO,A
22231002,allergic enteritis,SNO,P
22253000,pain observations,SNO,P
22253000,part hurts,SNO,A
22253000,painful,SNO,A
22253000,dolour,SNO,A
22253000,dolor,SNO,A
22253000,pain,SNO,A
22775002,allergic vulvitis,SNO,P
23056005,neuralgia-neuritis of sciatic nerve,SNO,P
23056005,sciatica neuralgia,SNO,A
23056005,sciatic neuralgia,SNO,A
23056005,sciatica,SNO,A
23924001,pressure in chest,SNO,P
23924001,chest tightness,SNO,A
23924001,tight chest,SNO,A
24079001,disseminated neurodermatitis,SNO,P
24079001,ad - atopic dermatitis,SNO,A
24079001,constitutional eczema,SNO,A
24079001,allergic dermatitis,SNO,A
24079001,atopic dermatitis,SNO,A
24079001,allergic eczema,SNO,A
24079001,atopic eczema,SNO,A
24693007,fibromyositis,SNO,P
24982008,double vision,SNO,P
24982008,seeing double,SNO,A
24982008,diplopia,SNO,A
25064002,ha - headache,SNO,P
25064002,cephalodynia,SNO,A
25064002,pain in head,SNO,A
25064002,cephalalgia,SNO,A
25064002,head pain,SNO,A
25064002,cephalgia,SNO,A
25064002,headache,SNO,A
25289003,sounds seem unnaturally loud,SNO,P
25289003,oversensitive hearing,SNO,A
25289003,hyperacusis,SNO,A
25374005,ge - gastroenteritis,SNO,P
25374005,gastroenteropathy,SNO,A
25374005,gastroenteritis,SNO,A
25458004,acute gastritis,SNO,P
25501002,social anxiety disorder,SNO,P
25501002,social phobia,SNO,A
25569003,vt - ventricular tachycardia,SNO,P
25569003,ventricular tachycardia,SNO,A
25887009,allergic sigmoiditis,SNO,P
26006005,allergic gastroenteritis,SNO,P
26045000,chronic allergic conjunctivitis,SNO,P
26079004,involuntary trembling,SNO,P
26079004,involuntary quiver,SNO,A
26079004,shaking all over,SNO,A
26079004,has a tremor,SNO,A
26079004,the shakes,SNO,A
26079004,trembling,SNO,A
26079004,quivering,SNO,A
26079004,shaking,SNO,A
26079004,tremor,SNO,A
26079004,shakes,SNO,A
26141007,st segment depression,SNO,P
26141007,st depression,SNO,A
26169004,allergic otitis media,SNO,P
26284000,ulceration of oral mucosa,SNO,P
26284000,mouth ulceration,SNO,A
26284000,ulcer of mouth,SNO,A
26284000,mouth ulcer,SNO,A
26284000,oral ulcer,SNO,A
26329005,poor concentration,SNO,P
26544005,decreased muscle strength,SNO,P
26544005,muscle strength reduced,SNO,A
26544005,muscle weakness,SNO,A
26664005,anterior necrotizing scleritis without inflammation,SNO,P
26664005,anterior necrotising scleritis without inflammation,SNO,A
26664005,scleromalacia perforans,SNO,A
27019000,superficial keratitis,SNO,P
27040004,experimental allergic encephalomyelitis,SNO,P
27355003,pain in tooth,SNO,P
27355003,odontalgia,SNO,A
27355003,toothache,SNO,A
27355003,dentalgia,SNO,A
27355003,dentagra,SNO,A
27382006,follicular mucinosis,SNO,P
27382006,alopecia mucinosa,SNO,A
27635008,aching pain,SNO,P
27635008,aching,SNO,A
27757009,encysted pleurisy,SNO,P
28031001,delayed hypersensitivity reaction,SNO,P
28031001,hypersensitivity reaction type iv,SNO,A
28031001,gell and coombs reaction type iv,SNO,A
28031001,cell-mediated immune reaction,SNO,A
28442001,passes too much urine,SNO,P
28442001,polyuria,SNO,A
28651003,orthostatic hypotension,SNO,P
28651003,postural hypotension,SNO,A
28715001,objective tinnitus,SNO,P
28743005,productive cough,SNO,P
28743005,producing sputum,SNO,A
28743005,bronchial cough,SNO,A
28743005,chesty cough,SNO,A
28743005,loose cough,SNO,A
28743005,moist cough,SNO,A
29050005,acute iritis,SNO,P
29139005,gustatory hallucinations,SNO,P
29139005,hallucinations of taste,SNO,A
29164008,disturbance in speech,SNO,P
29164008,speech abnormality,SNO,A
29164008,speech impairment,SNO,A
29695002,throbbing pain,SNO,P
29695002,pulsatile pain,SNO,A
29857009,chest pain,SNO,P
30069002,spasm of accommodation,SNO,P
30069002,ciliary muscle spasm,SNO,A
30069002,accommodative spasm,SNO,A
30077003,somatoform pain disorder,SNO,P
30085007,morton's metatarsalgia,SNO,P
30085007,interdigital neuralgia,SNO,A
30085007,interdigital neuroma,SNO,A
30085007,morton metatarsalgia,SNO,A
30085007,morton's neuralgia,SNO,A
30085007,morton's neuroma,SNO,A
30085007,morton's disease,SNO,A
30085007,mortons neuroma,SNO,A
30085007,morton neuroma,SNO,A
30085007,morton's toe,SNO,A
30227006,pulmonary aspiration of gastric contents,SNO,P
30227006,inhalation of gastric contents,SNO,A
30227006,aspiration of vomitus,SNO,A
30233002,painful swallowing,SNO,P
30233002,pain on swallowing,SNO,A
30233002,swallowing painful,SNO,A
30233002,odynophagia,SNO,A
30304000,allergic colitis,SNO,P
30654002,hypertrophy of nail,SNO,P
30654002,nail hypertrophy,SNO,A
30654002,nail overgrowth,SNO,A
30654002,ox - onychauxic,SNO,A
30654002,onychauxis,SNO,A
30731004,soreness of tongue,SNO,P
30731004,painful tongue,SNO,A
30731004,glossodynia,SNO,A
30731004,glossalgia,SNO,A
30746006,enlargement of lymph nodes,SNO,P
30746006,lymphadenopathy - swelling,SNO,A
30746006,swelling of lymph nodes,SNO,A
30746006,swelling of lymph node,SNO,A
30746006,la - lymphadenopathy,SNO,A
30746006,ln - lymphadenopathy,SNO,A
30746006,swollen lymph glands,SNO,A
30746006,swollen lymph nodes,SNO,A
30746006,lymphadenopathy,SNO,A
30760008,fc - finger clubbing,SNO,P
30760008,drumstick fingers,SNO,A
30760008,clubbed fingers,SNO,A
30760008,finger clubbing,SNO,A
30833006,vulvar vestibulitis,SNO,P
30833006,vulval vestibulitis,SNO,A
30833006,vestibulodynia,SNO,A
31166000,episcleritis periodica fugax,SNO,P
31499008,overflow incontinence due to constipation,SNO,P
31499008,chronic constipation with overflow,SNO,A
31499008,spurious diarrhoea,SNO,A
31499008,overflow diarrhoea,SNO,A
31499008,spurious diarrhea,SNO,A
31499008,overflow diarrhea,SNO,A
31681005,tn - trigeminal neuralgia,SNO,P
31681005,fothergill's neuralgia,SNO,A
31681005,trigeminal neuralgia,SNO,A
31681005,trifacial neuralgia,SNO,A
31681005,tic douloureux,SNO,A
31908003,vaginal dryness,SNO,P
32035007,chronic lymphadenitis,SNO,P
32035007,chronic adenitis,SNO,A
32295003,allergic ileitis,SNO,P
33382000,panophthalmitis,SNO,P
33653009,absence of sensation,SNO,P
33653009,sensory anaesthesia,SNO,A
33653009,sensory anesthesia,SNO,A
33653009,sensory loss,SNO,A
33653009,anaesthesia,SNO,A
33653009,anesthesia,SNO,A
34038005,adhesion of pleura,SNO,P
34038005,adhesive pleuritis,SNO,A
34038005,pleural adhesion,SNO,A
34038005,adhesion of lung,SNO,A
34272008,secondary oligomenorrhoea,SNO,P
34272008,secondary oligomenorrhea,SNO,A
34789001,pain in the coccyx,SNO,P
34789001,pain in coccyx,SNO,A
34789001,coccygalgia,SNO,A
34789001,coccyodynia,SNO,A
34789001,coccyalgia,SNO,A
34789001,coccydynia,SNO,A
35001004,non-allergic anaphylaxis,SNO,P
35001004,anaphylactoid reaction,SNO,A
35489007,mood disorder of depressed type,SNO,P
35489007,depressive disorder,SNO,A
35489007,depressive illness,SNO,A
35489007,depression,SNO,A
35489007,depressed,SNO,A
35678005,arthralgia of multiple joints,SNO,P
35678005,multiple joint pain,SNO,A
35678005,polyarthralgia,SNO,A
35688006,complication of medical care,SNO,P
35688006,medical care complication,SNO,A
36269003,painful lips,SNO,P
36269003,cheilodynia,SNO,A
36349006,burning pain,SNO,P
36349006,hot pain,SNO,A
36715001,em - erythema multiforme,SNO,P
36715001,erythema multiforme,SNO,A
36729000,prostatic pain,SNO,P
36729000,prostatodynia,SNO,A
36729000,prostate pain,SNO,A
36729000,prostatalgia,SNO,A
36923009,"major depressive disorder, single episode",SNO,P
36923009,"major depression, single episode",SNO,A
36955009,absence of sense of taste,SNO,P
36955009,gustatory anaesthesia,SNO,A
36955009,gustatory alteration,SNO,A
36955009,gustatory anesthesia,SNO,A
36955009,loss of taste,SNO,A
36955009,ageusia,SNO,A
37151006,weir mitchell's disease,SNO,P
37151006,erythromelalgia,SNO,A
37151006,erythermalgia,SNO,A
37151006,erythralgia,SNO,A
37224001,psychogenic vomiting,SNO,P
37224001,hysterical vomiting,SNO,A
37224001,functional vomiting,SNO,A
37356005,myoclonic seizures,SNO,P
37356005,myoclonic seizure,SNO,A
37471005,extrinsic allergic bronchiolo-alveolitis,SNO,P
37471005,eaa - extrinsic allergic alveolitis,SNO,A
37471005,allergic interstitial pneumonitis,SNO,A
37471005,extrinsic allergic alveolitis,SNO,A
37471005,hypersensitivity pneumonitis,SNO,A
37471005,hypersensitivity pneumonia,SNO,A
37471005,allergic pneumonitis,SNO,A
37471005,allergic alveolitis,SNO,A
