vtmId,dose,unit,vmpId
544002,2,mg,326766003
544002,5,mg,4843711000001105
796001,62.5,microgram,317895005
796001,125,microgram,317896006
796001,250,microgram,317897002
1039008,10,mg,8796611000001103
1039008,10,mg,18430611000001102
1039008,12.5,mg,36979111000001107
1039008,20,mg,36595711000001109
1039008,25,mg,20556311000001100
1039008,25,mg,22154611000001102
1039008,30,mg,28366311000001107
1039008,50,mg,326873001
1039008,75,mg,28415311000001105
1039008,75,mg,31535311000001101
1222004,200,mg,324511003
1222004,400,mg,324512005
1222004,500,mg,324523009
1389007,5,mg,11880411000001105
1389007,100,microgram,39695511000001104
1389007,200,microgram,39695611000001100
1389007,400,microgram,39695711000001109
1528001,15,mg,327587003
2190009,2,mg,323223003
2190009,5,mg,323224009
2571007,2,mg,326723005
2571007,25,mg,13961411000001100
2679000,2.5,mg,375797005
3127006,250,mg,326869004
3814009,25,mg,40087711000001105
3814009,50,mg,325332002
3814009,100,mg,40087611000001101
4194004,1,mg,371144004
4194004,2,mg,371145003
4219002,125,mg,330026007
4219002,150,mg,37281111000001101
4219002,250,mg,330027003
4219002,300,mg,37281511000001105
4937008,250,mg,39735011000001107
4937008,375,mg,36134211000001100
4937008,500,mg,39735111000001108
5737008,150,mg,324049005
5737008,150,mg,371595007
5737008,300,mg,32785511000001100
5737008,300,mg,34819711000001101
5786005,250,mg,395516007
5786005,300,mg,35148011000001104
5786005,500,mg,376905005
5975000,500,mg,20106011000001104
6067003,20,mg,39701711000001104
6102009,10,mg,330116003
6116004,50,mg,327601007
6116004,50,mg,21890311000001101
6247001,5,mg,327550006
6247001,100,microgram,327549006
6247001,150,mg,19821111000001108
6247001,400,microgram,327552003
6625006,50,mg,8799111000001103
6625006,125,mg,329232007
6625006,220,mg,329235009
7092007,12.5,mg,16632411000001109
7092007,25,mg,39992211000001108
7092007,50,mg,318475005
7092007,100,mg,318474009
7092007,200,mg,36035411000001108
7168001,500,mg,8794811000001106
7336002,50,mg,321881001
7336002,50,mg,376689003
7336002,50,mg,376689003
7336002,100,mg,321880000
7336002,100,mg,376690007
7336002,100,mg,376690007
7336002,150,mg,321877001
7336002,150,mg,4557211000001109
7561000,2,mg,325356003
7561000,4,mg,376688006
7561000,8,mg,35574111000001104
7561000,10,mg,24580511000001101
7561000,40,mg,34796811000001100
7561000,100,microgram,8792611000001104
7561000,400,microgram,31141511000001103
7561000,500,microgram,325355004
7577004,100,mg,39686211000001109
7577004,250,mg,39687511000001109
7577004,500,mg,39687811000001107
7577004,750,mg,39687011000001101
7947003,25,mg,30798211000001103
7947003,75,mg,319773006
7947003,75,mg,319775004
7947003,75,mg,319781007
7947003,75,mg,10064711000001104
7947003,100,mg,21109511000001106
7947003,300,mg,322225002
7947003,300,mg,329525004
7947003,300,mg,4558011000001103
7947003,300,mg,39695211000001102
8109005,10,mg,320803005
9500005,15,mg,321902007
9500005,15,mg,38976911000001105
9944001,4,mg,39708211000001102
10099000,50,mg,329758006
10099000,100,mg,3377811000001108
10099000,100,mg,36037011000001106
10099000,150,mg,36037211000001101
10099000,200,mg,36037311000001109
10312003,1,mg,418349006
10312003,1,mg,17872811000001100
10312003,2,mg,17873211000001107
10312003,5,mg,373994007
10312003,5,mg,17873811000001108
10312003,50,mg,374072009
10504007,20,mg,408607002
10504007,40,mg,36564611000001104
10504007,50,mg,324070004
10504007,100,mg,324059006
10504007,100,mg,421341000
10504007,100,mg,421341000
10756001,1.5,mg,321416009
10756001,5,mg,321417000
10756001,10,mg,321418005
10756001,20,mg,321419002
10756001,500,microgram,321448008
10756001,500,microgram,321451001
11796006,1,mg,322844002
11841005,10,mg,321811006
11841005,25,mg,321812004
11841005,50,mg,321813009
11841005,75,mg,321814003
11847009,250,mg,329806007
11847009,250,mg,329838002
11847009,275,mg,322299000
11847009,375,mg,36564511000001103
11847009,500,mg,329807003
11847009,500,mg,329839005
11847009,500,mg,36030111000001106
11959009,1,g,35899211000001100
11959009,250,mg,375342002
11959009,500,mg,35899311000001108
12096000,250,mg,15437411000001106
12236006,125,mg,4077911000001100
12495006,100,mg,4288611000001108
12495006,150,mg,17295911000001104
12495006,200,mg,7720511000001101
12495006,250,mg,33678811000001104
12512008,50,mg,318082004
12839006,1,mg,325505008
12839006,1,mg,325545004
12839006,2,mg,325533008
12839006,2,mg,325546003
12839006,3,mg,15473811000001104
12839006,4,mg,400795008
13414000,500,mg,39735211000001102
13432000,10,mg,38285811000001101
13432000,10,mg,39701411000001105
13432000,25,mg,38285911000001106
13432000,25,mg,39701511000001109
13432000,50,mg,34034111000001108
13512003,50,mg,39700611000001103
13512003,50,mg,39700711000001107
13512003,100,mg,36565111000001106
13512003,100,mg,39700811000001104
13512003,100,mg,39700911000001109
13565005,5,mg,317512004
13592004,500,mg,324477005
13813003,5,mg,10447211000001101
13813003,10,mg,26588011000001101
13929005,12.5,mg,39356011000001101
13929005,25,mg,318056008
13929005,50,mg,318057004
13929005,100,mg,318058009
13965000,100,mg,39107811000001107
13965000,125,mg,11146711000001104
13965000,150,mg,323008001
13965000,150,mg,11475111000001108
13965000,200,mg,322956002
13965000,200,mg,39108211000001105
13965000,250,mg,134538003
13965000,300,mg,323009009
13965000,300,mg,11475211000001102
13965000,300,mg,39108311000001102
13965000,500,mg,134537008
13965000,500,mg,322957006
13965000,500,mg,323010004
13965000,500,mg,39108411000001109
15222008,2.5,mg,318850001
15222008,5,mg,318851002
15222008,10,mg,318853004
15222008,20,mg,318855006
15383004,500,mg,323095008
15432003,1,mg,325482006
15432003,2,microgram,8794111000001104
15432003,2,microgram,11738011000001105
15432003,5,microgram,28049411000001102
15432003,10,microgram,325480003
15432003,50,microgram,325481004
15432003,50,microgram,39601811000001101
16037009,60,mg,320795003
16037009,120,mg,4558711000001101
16602005,1,mg,20455311000001102
16602005,2,mg,15436911000001101
16602005,2.5,mg,15533611000001108
16602005,2.5,mg,39934011000001101
16602005,5,mg,21496411000001103
16602005,5,mg,39934111000001100
16602005,5,mg,40103511000001102
16602005,10,mg,325373001
16602005,10,mg,40103411000001101
16602005,15,mg,39933911000001104
16602005,20,mg,325374007
16602005,20,mg,21496311000001105
16791000,250,mg,323944009
16791000,500,mg,323945005
16832004,1.25,mg,325557008
16832004,2.5,mg,428005004
16832004,300,microgram,409118006
16832004,625,microgram,325556004
16858004,4,mg,29889011000001101
16858004,10,mg,29888911000001105
16858004,40,mg,703809005
16858004,200,mg,420994005
16970001,100,mg,324908007
16977003,200,mg,39110011000001104
16977003,250,mg,321730000
16977003,400,mg,39110111000001103
16977003,450,mg,36040211000001104
17308007,50,mg,324506000
