situationId,sitTerm,findingId,finTerm,Nsit
16535531000119108,History of nystagmus (situation),563001,Nystagmus (disorder),1
15912951000119101,History of episcleritis (situation),815008,Episcleritis (disorder),1
267004000,History of musculoskeletal disease (situation),928000,Disorder of musculoskeletal system (disorder),1
16864911000119103,History of intracranial hemorrhage (situation),1386000,Intracranial hemorrhage (disorder),1
115451000119100,History of endophthalmitis (situation),1847009,Endophthalmitis (disorder),1
428942009,History of fall (situation),1912002,Fall (event),1
161449003,History of nutritional disorder (situation),2492009,Nutritional disorder (disorder),1
275529004,History of congenital disease of hip (situation),2749000,Congenital deformity of hip joint (disorder),1
15628411000119103,History of emergence delirium (situation),2776000,Delirium (disorder),2
16535771000119101,History of delirium (situation),2776000,Delirium (disorder),2
441511006,History of immune thrombocytopenia (situation),2897005,Immune thrombocytopenia (disorder),1
161539004,History of melena (situation),2901004,Melena (disorder),1
161556007,History of male infertility (situation),2904007,Male infertility (disorder),1
934589301000119108,History of otitis externa (situation),3135009,Otitis externa (disorder),1
285741000119105,History of pericarditis (situation),3238004,Pericarditis (disorder),1
275554004,History of arthritis (situation),3723001,Arthritis (disorder),1
473117004,History of viral hepatitis (situation),3738000,Viral hepatitis (disorder),1
16468501000119108,History of Zika virus infection (situation),3928002,Zika virus disease (disorder),1
473123009,History of bronchiolitis (situation),4120002,Bronchiolitis (disorder),1
608837004,History of migraine with aura (situation),4473006,Migraine with aura (disorder),1
691501000119103,History of gastritis (situation),4556007,Gastritis (disorder),1
681221000119108,History of herpes zoster (situation),4740000,Herpes zoster (disorder),1
94001000119104,History of typhoid (situation),4834000,Typhoid fever (disorder),1
161584002,History of perinatal cerebral irritability (situation),4952001,Cerebral irritability in newborn (disorder),1
428076002,History of atrial flutter (situation),5370000,Atrial flutter (disorder),1
275553005,History of male sex function problem (situation),5413009,Abnormal male sexual function (finding),1
161772002,History of oral contraceptive usage (situation),5935008,Oral contraception (finding),1
407613009,Born by breech delivery (situation),6096002,Breech presentation (finding),1
13016311000119104,History of retinal edema (situation),6141006,Retinal edema (disorder),1
789775004,History of influenza (situation),6142004,Influenza (disorder),1
725943008,History of second degree perineal laceration (situation),6234006,Second degree perineal laceration (disorder),1
441493008,History of premature labor (situation),6383007,Premature labor (finding),1
161798008,History of female infertility (situation),6738008,Female infertility (disorder),1
161478002,History of meningitis (situation),7180009,Meningitis (disorder),1
161466001,History of alcoholism (situation),7200002,Alcoholism (disorder),1
275881005,History of sexually transmitted disease (situation),8098009,Sexually transmitted infectious disease (disorder),1
161538007,History of hematemesis (situation),8765009,Hematemesis (disorder),1
161562002,History of psoriasis (situation),9014002,Psoriasis (disorder),1
16475471000119100,History of herpes simplex keratitis (situation),9389005,Herpes simplex keratitis (disorder),1
681201000119104,History of prostatitis (situation),9713002,Prostatitis (disorder),1
136611000119100,History of sepsis (situation),10001005,Bacterial sepsis (disorder),1
725941005,History of third degree perineal laceration (situation),10217006,Third degree perineal laceration (disorder),1
70871000119100,History of irritable bowel syndrome (situation),10743008,Irritable bowel syndrome (disorder),1
161555006,History of prostatism (situation),11441004,Prostatism (disorder),1
472971004,History of gestational diabetes mellitus (situation),11687002,Gestational diabetes mellitus (disorder),1
16880931000119102,History of eyelid ptosis (situation),11934000,Ptosis of eyelid (disorder),1
428934008,History of inactive tuberculosis (situation),11999007,Inactive tuberculosis (disorder),1
16885661000119108,History of rectal bleeding (situation),12063002,Rectal hemorrhage (disorder),1
315604002,Missed contraceptive pill (situation),13197004,Contraception (finding),2
420209000,History of contraceptive usage (situation),13197004,Contraception (finding),2
266998003,History of peptic ulcer (situation),13200003,Peptic ulcer (disorder),1
161573009,History of cardiac anomaly (situation),13213009,Congenital heart disease (disorder),1
433845004,History of aneurysm of iliac artery (situation),13290008,Aneurysm of iliac artery (disorder),1
275542004,History of Ménière's disease (situation),13445001,Ménière's disease (disorder),1
414416008,History of hypercholesterolemia (situation),13644009,Hypercholesterolemia (disorder),1
270473001,History of chronic obstructive airway disease (situation),13645005,Chronic obstructive lung disease (disorder),1
400998002,History of manic depressive disorder (situation),13746004,Bipolar disorder (disorder),1
161419000,History of measles (situation),14189004,Measles (disorder),1
161780009,History of amenorrhea (situation),14302001,Amenorrhea (finding),1
275536003,History of thyroid disorder (situation),14304000,Disorder of thyroid gland (disorder),1
137971000119104,History of acute renal failure (situation),14669001,Acute renal failure syndrome (disorder),1
428863007,History of vitreous floater (situation),15013002,Vitreous floaters (disorder),1
439589003,History of peritonsillar abscess (situation),15033003,Peritonsillar abscess (disorder),1
371434005,History of alcohol abuse (situation),15167005,Alcohol abuse (disorder),1
472955004,History of hearing loss (situation),15188001,Hearing loss (disorder),1
161806007,History of eclampsia (situation),15938005,Eclampsia (disorder),1
16089211000119108,History of gastrojejunal ulcer (situation),16121001,Gastrojejunal ulcer (disorder),1
441494002,History of splenomegaly (situation),16294009,Splenomegaly (disorder),1
70561000119109,History of heartburn (situation),16331000,Heartburn (finding),1
16098821000119109,History of choroiditis (situation),16553002,Choroiditis (disorder),1
691491000119105,History of esophagitis (situation),16761005,Esophagitis (disorder),1
93961000119100,History of pneumococcal infection (situation),16814004,Pneumococcal infectious disease (disorder),1
10988171000119101,History of parasitic disease (situation),17322007,Disease caused by parasite (disorder),1
161752007,History of six miscarriages (situation),17369002,Miscarriage (disorder),8
161747002,History of one miscarriage (situation),17369002,Miscarriage (disorder),8
161744009,History of miscarriage (situation),17369002,Miscarriage (disorder),8
161748007,History of two miscarriages (situation),17369002,Miscarriage (disorder),8
161749004,History of three miscarriages (situation),17369002,Miscarriage (disorder),8
161750004,History of four miscarriages (situation),17369002,Miscarriage (disorder),8
161751000,History of five miscarriages (situation),17369002,Miscarriage (disorder),8
15011000119104,History of pregnancy loss in non-pregnant woman (situation),17369002,Miscarriage (disorder),8
161536006,History of jaundice (situation),18165001,Jaundice (finding),1
726623007,History of postpartum psychosis (situation),18260003,Postpartum psychosis (disorder),1
161563007,History of chronic skin ulcer (situation),19429009,Chronic ulcer of skin (disorder),1
472956003,History of disorder of soft tissue (situation),19660004,Disorder of soft tissue (disorder),1
16915541000119100,History of acalculous cholecystitis (situation),19968009,Cholecystitis without calculus (disorder),1
137961000119105,History of ureteral obstruction (situation),20018005,Occlusion of ureter (disorder),1
433807000,History of occlusion of cerebral artery without cerebral infarction (situation),20059004,Occlusion of cerebral artery (disorder),2
431310008,History of occlusion of cerebral artery (situation),20059004,Occlusion of cerebral artery (disorder),2
267015005,History of full term delivery (situation),21243004,Term birth of newborn (finding),1
161515009,History of subarachnoid hemorrhage (situation),21454007,Subarachnoid intracranial hemorrhage (disorder),1
161524000,History of hay fever (situation),21719001,Allergic rhinitis caused by pollen (disorder),1
733899004,Past history of baby with fetal growth restriction (situation),22033007,Fetal growth retardation (disorder),1
16535691000119106,History of strabismus (situation),22066006,Strabismus (disorder),1
161794005,History of stress incontinence (situation),22220005,Genuine stress incontinence (finding),1
161503005,History of myocardial infarct at age greater than sixty (situation),22298006,Myocardial infarction (disorder),6
161502000,History of myocardial infarct at age less than sixty (situation),22298006,Myocardial infarction (disorder),6
308065005,History of myocardial infarction in last year (situation),22298006,Myocardial infarction (disorder),6
399211009,History of myocardial infarction (situation),22298006,Myocardial infarction (disorder),6
461000119108,History of myocardial infarction in last eight weeks (situation),22298006,Myocardial infarction (disorder),6
103011000119106,Coronary arteriosclerosis in patient with history of previous myocardial infarction (situation),22298006,Myocardial infarction (disorder),6
16089131000119108,History of pyloric channel ulcer (situation),22620000,Prepyloric ulcer (disorder),1
428951001,History of hemorrhage into ventricle of brain (situation),23276006,Ventricular hemorrhage (disorder),1
429423007,History of Lyme disease (situation),23502006,Lyme disease (disorder),1
266993007,History of central nervous system disorder (situation),23853001,Disorder of the central nervous system (disorder),1
161488001,History of glaucoma (situation),23986001,Glaucoma (disorder),1
608844008,History of inflammatory bowel disease (situation),24526004,Inflammatory bowel disease (disorder),1
427902001,History of branch retinal vein occlusion (situation),24596005,Venous retinal branch occlusion (disorder),1
425978000,History of headache (situation),25064002,Headache (finding),1
161494009,History of ear disorder (situation),25906001,Disorder of ear (disorder),1
371435006,History of drug abuse (situation),26416006,Drug abuse (disorder),1
726596004,History of uterine inversion (situation),27215002,Uterine inversion (disorder),1
59801000119102,History of small vessel disease due to diabetes mellitus (situation),27550009,Disorder of blood vessel (disorder),1
161422003,History of pertussis (situation),27836007,Pertussis (disorder),1
275571003,History of female sexual problem (situation),28154007,Abnormal female sexual function (finding),1
161581005,History of birth asphyxia (situation),28314004,"Asphyxia, in liveborn infant (disorder)",1
16093661000119105,History of esophageal varices (situation),28670008,Esophageal varices (disorder),1
16535611000119102,History of retinitis pigmentosa (situation),28835009,Retinitis pigmentosa (disorder),1
16535441000119100,History of retinal hemorrhage (situation),28998008,Retinal hemorrhage (disorder),1
473110002,History of proteinuria (situation),29738008,Proteinuria (finding),1
16089411000119109,History of chest pain (situation),29857009,Chest pain (finding),1
161417003,History of scarlatina (situation),30242009,Scarlet fever (disorder),1
473118009,History of ventricular septal defect (situation),30288003,Ventricular septal defect (disorder),1
441586006,History of Fanconi anemia (situation),30575002,Fanconi's anemia (disorder),1
1099621000119102,History of ischemic colitis (situation),30588004,Ischemic colitis (disorder),1
429125006,History of lymphadenopathy (situation),30746006,Lymphadenopathy (disorder),1
16089091000119106,History of esophageal ulcer (situation),30811009,Ulcer of esophagus (disorder),1
137401000119102,History of listeria meningitis (situation),31568009,Listeria meningitis (disorder),1
161482000,History of trigeminal neuralgia (situation),31681005,Trigeminal neuralgia (disorder),1
1098861000119103,History of torsades de pointes (situation),31722008,Torsades de pointes (disorder),1
472974007,History of vasculitis (situation),31996006,Vasculitis (disorder),1
275528007,History of bronchitis (situation),32398004,Bronchitis (disorder),1
397942001,History of anesthesia problem (situation),33211000,Complication of anesthesia (disorder),1
112561000119108,History of Crohns disease (situation),34000006,Crohn's disease (disorder),1
161424002,History of viral illness (situation),34014006,Viral disease (disorder),1
161550001,History of hematuria (situation),34436003,Blood in urine (finding),1
161442007,History of hyperthyroidism (situation),34486009,Hyperthyroidism (disorder),1
59701000119109,History of portal hypertension (situation),34742003,Portal hypertension (disorder),1
161763005,History of ectopic pregnancy (situation),34801009,Ectopic pregnancy (disorder),1
161804005,History of antepartum hemorrhage (situation),34842007,Antepartum hemorrhage (disorder),1
427762006,History of iron deficiency (situation),35240004,Iron deficiency (disorder),1
161469008,History of depression (situation),35489007,Depressive disorder (disorder),1
472957007,History of pain of multiple joints (situation),35678005,Multiple joint pain (finding),1
117881000119103,History of sick sinus syndrome (situation),36083008,Sick sinus syndrome (disorder),1
161528002,History of pneumothorax (situation),36118008,Pneumothorax (disorder),1
49231000119106,History of primary hyperparathyroidism (situation),36348003,Primary hyperparathyroidism (disorder),1
