situationId,sitTerm,findingId,finTerm,Nsit
431956005,Suspected inflammatory arthritis (situation),3723001,Arthritis (disorder),1
772165002,Meningococcal septicemia suspected (situation),4089001,Meningococcemia (disorder),1
413241009,Suspicion of gastritis (situation),4556007,Gastritis (disorder),1
772154007,Typhoid fever suspected (situation),4834000,Typhoid fever (disorder),1
428655008,Suspected phenylketonuria (situation),7573000,Classical phenylketonuria (disorder),1
162594009,Suspected deafness (situation),8531006,Complete deafness (disorder),1
722545003,Suspected rabies (situation),14168008,Rabies (disorder),1
772152006,Measles suspected (situation),14189004,Measles (disorder),1
787772009,Suspected ingestion of foreign body (situation),14448006,Swallowed foreign body (disorder),1
415685003,Suspected alcohol abuse (situation),15167005,Alcohol abuse (disorder),1
428485006,Suspected sickle cell trait (situation),16402000,Sickle cell trait (disorder),1
772162004,Yellow fever suspected (situation),16541001,Yellow fever (disorder),1
717781006,Suspected renal osteodystrophy (situation),16726004,Renal osteodystrophy (disorder),1
714327004,Suspected Lyme disease (situation),23502006,Lyme disease (disorder),1
700409000,Suspected multiple sclerosis (situation),24700007,Multiple sclerosis (disorder),1
162591001,Suspected drug abuse (situation),26416006,Drug abuse (disorder),3
162593003,Suspected abuse hard drugs (situation),26416006,Drug abuse (disorder),3
162592008,Suspected abuse soft drugs (situation),26416006,Drug abuse (disorder),3
772146005,Pertussis suspected (situation),27836007,Pertussis (disorder),1
772157000,Scarlet fever suspected (situation),30242009,Scarlet fever (disorder),1
700102000,Suspected hereditary disease (situation),32895009,Hereditary disease (disorder),1
473126001,Suspected depressive disorder (situation),35489007,Depressive disorder (disorder),1
1081901000112109,Glomerulonephritis suspected (situation),36171008,Glomerulonephritis (disorder),1
772212002,Rubella suspected (situation),36653000,Rubella (disorder),1
772145009,Mumps suspected (situation),36989005,Mumps (disorder),1
707860005,Suspected Ebola virus disease (situation),37109004,Ebola virus disease (disorder),1
417312002,Suspected hypertension (situation),38341003,"Hypertensive disorder, systemic arterial (disorder)",1
418429061000132101,Suspected dengue (situation),38362002,Dengue (disorder),1
473130003,Suspected infectious disease (situation),40733004,Infectious disease (disorder),1
473124003,Suspected hypothyroidism (situation),40930008,Hypothyroidism (disorder),1
415683005,Suspect trisomy 21 fetus (situation),41040004,Complete trisomy 21 syndrome (disorder),2
408338009,Suspected Downs syndrome (situation),41040004,Complete trisomy 21 syndrome (disorder),2
394966004,Suspected respiratory disease (situation),50043002,Disorder of respiratory system (disorder),1
697959002,Suspected wandering (situation),50239007,Wandering (finding),1
439597005,Suspected infectious enteritis (situation),55184003,Infectious enteritis (disorder),1
473128000,Suspected drug overdose (situation),55680006,Drug overdose (disorder),1
394886001,Suspected heart disease (situation),56265001,Heart disease (disorder),1
772170009,Tuberculosis suspected (situation),56717001,Tuberculosis (disorder),1
772161006,Plague suspected (situation),58750007,Plague (disorder),1
871484007,Pulmonary aspiration of food suspected (situation),58849003,Aspiration of food (finding),1
417113001,Suspected pulmonary embolism (situation),59282003,Pulmonary embolism (disorder),1
772168000,Malaria suspected (situation),61462000,Malaria (disorder),1
772160007,Cholera suspected (situation),63650001,Cholera (disorder),1
41769001,Disease suspected (situation),64572001,Disease (disorder),2
717781006,Suspected renal osteodystrophy (situation),64572001,Disease (disorder),2
772159002,Smallpox suspected (situation),67924001,Smallpox (disorder),1
314940005,Suspected urinary tract infection (situation),68566005,Urinary tract infectious disease (disorder),1
718311001,Suspected erythema chronica migrans (situation),69588003,Erythema chronica migrans (disorder),1
609415007,Suspected fetal disorder (situation),70591005,Fetal disorder (disorder),4
609418009,Suspected fetal damage from maternal alcohol (situation),70591005,Fetal disorder (disorder),4
609423009,Suspected fetal damage from environmental toxin (situation),70591005,Fetal disorder (disorder),4
609424003,Suspected fetal damage from maternal alcohol addiction (situation),70591005,Fetal disorder (disorder),4
866224009,Pulmonary hypertension suspected (situation),70995007,Pulmonary hypertension (disorder),1
473127005,Suspected diabetes mellitus (situation),73211009,Diabetes mellitus (disorder),1
408337004,Suspected chromosome abnormality (situation),74345006,Congenital disorder due to abnormality of chromosome number OR structure (disorder),1
428300000,Suspected congenital hypothyroidism (situation),75065003,Endemic cretinism (disorder),1
394988004,Suspected food poisoning (situation),75258004,Food poisoning (disorder),1
406136005,Suspected poisoning (situation),75478009,Poisoning (disorder),1
772163009,Brucellosis suspected (situation),75702008,Brucellosis (disorder),1
371397000,Syphilis suspected on epidemiological grounds (situation),76272004,Syphilis (disorder),1
772153001,Tetanus suspected (situation),76902006,Tetanus (disorder),1
772148006,Leprosy suspected (situation),81004002,Leprosy (disorder),1
394887005,Suspected heart failure (situation),84114007,Heart failure (disorder),1
407625007,Suspected epilepsy (situation),84757009,Epilepsy (disorder),1
772164003,Paratyphoid fever suspected (situation),85904008,Paratyphoid fever (disorder),1
697956009,Suspected tobacco abuse (situation),89765005,Tobacco dependence syndrome (disorder),1
315262009,Suspected leukemia (situation),93143009,"Leukemia, disease (disorder)",1
315271000,Suspected urothelial cancer (situation),94125001,Primary malignant neoplasm of urinary system (disorder),2
836340003,Suspected high-grade urothelial carcinoma found on urine cytology (situation),94125001,Primary malignant neoplasm of urinary system (disorder),2
697957000,Suspected elderly person maltreatment (situation),95921002,Elderly person maltreatment (event),1
700254002,Suspected victim of child sexual abuse (situation),95922009,Child sex abuse (event),1
240592007,Chlamydia trachomatis infection suspected on epidemiological grounds (situation),105629000,Chlamydial infection (disorder),1
772169008,Hemolytic uremic syndrome suspected (situation),111407006,Hemolytic uremic syndrome (disorder),1
315264005,Suspected lymphoma (situation),118600007,Malignant lymphoma (disorder),1
407624006,Suspected neurological disease (situation),118940003,Disorder of nervous system (disorder),1
787771002,Suspected foreign body (situation),125670008,Foreign body (disorder),1
315263004,Suspected brain tumor (situation),126952004,Neoplasm of brain (disorder),1
427261003,Suspected cervical spine disease (situation),128049000,Disorder of cervical spine (disorder),1
