text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
{p decidual endometritis} from age 12,75585005 | Decidual endometritis (disorder),Historic,Confirmed,No laterality
{p bilateral metatarsus adductus} prev,15667441000119108 | Bilateral metatarsus adductus (disorder),Historic,Confirmed,Bilateral
{p crohn's disease of pylorus} a few years previously,61424003 | Crohn's disease of pylorus (disorder),Historic,Confirmed,No laterality
no prev hist of {p congenital facial nerve palsy},230542008 | Congenital facial nerve palsy (disorder),Historic,Negated,No laterality
no prev hx {p accidental fusidic acid overdose},296643001 | Accidental fusidic acid overdose (disorder),Historic,Negated,No laterality
{p benign neoplasm of rib} last 8 months,92326008 | Benign neoplasm of rib (disorder),Historic,Confirmed,No laterality
{p chronic lymphangitis} upto age 63,78973009 | Chronic lymphangitis (disorder),Historic,Confirmed,No laterality
{p contact granuloma of larynx} few yrs previously,12181000119103 | Contact granuloma of larynx (disorder),Historic,Confirmed,No laterality
{p reflux gastritis} last 1 mth,57433008 | Reflux gastritis (disorder),Historic,Confirmed,No laterality
prev hist {p inflammation of spermatic cord},737173008 | Inflammation of spermatic cord (disorder),Historic,Confirmed,No laterality
{p acquired unequal arm length} in the past,203602007 | Acquired unequal arm length (disorder),Historic,Confirmed,No laterality
{p disorder of eye proper} upto aged 45,371405004 | Disorder of eye proper (disorder),Historic,Confirmed,No laterality
{p atrial dilatation} when aged 13,82608003 | Atrial dilatation (disorder),Historic,Confirmed,No laterality
{p lupus erythematosus tumidus} few yrs ago,200941006 | Lupus erythematosus tumidus (disorder),Historic,Confirmed,No laterality
{p rabies} while age 5,14168008 | Rabies (disorder),Historic,Confirmed,No laterality
freq {p acute mastoiditis with complication},111538005 | Acute mastoiditis with complication (disorder),Historic,Confirmed,No laterality
{p rheumatic fever} few yrs ago,58718002 | Rheumatic fever (disorder),Historic,Confirmed,No laterality
{p cellulitis of sublingual space} when aged 12,109811000 | Cellulitis of sublingual space (disorder),Historic,Confirmed,No laterality
pers history {p fenoprofen poisoning},290251001 | Fenoprofen poisoning (disorder),Historic,Confirmed,No laterality
{p pseudoephedrine adverse reaction} previously,292482005 | Pseudoephedrine adverse reaction (disorder),Historic,Confirmed,No laterality
{p cyst of ciliary body} last 12 mths,85366002 | Cyst of ciliary body (disorder),Historic,Confirmed,No laterality
no past history {p sleep disturbance in infancy},4681000119100 | Sleep disturbance in infancy (disorder),Historic,Negated,No laterality
personal history {p hypertensive renal disease},38481006 | Hypertensive renal disease (disorder),Historic,Confirmed,No laterality
{p acute endogenous lipoid pneumonia} recovered,1010650005 | Acute endogenous lipoid pneumonia (disorder),Historic,Confirmed,No laterality
2 prev {p acute prostatitis},79411002 | Acute prostatitis (disorder),Historic,Confirmed,No laterality
{p recurrent subluxation of joint} at 21 yrs of age,239748000 | Recurrent subluxation of joint (disorder),Historic,Confirmed,No laterality
"past medical history {p hypervitaminosis, b complex}","29405003 | Hypervitaminosis, B complex (disorder)",Historic,Confirmed,No laterality
no history {p fuhrmann syndrome},721296004 | Fuhrmann syndrome (disorder),Historic,Negated,No laterality
1 previous {p transient ischemic colitis},235845003 | Transient ischemic colitis (disorder),Historic,Confirmed,No laterality
{p nonspecific interstitial pneumonia} until 42 yr old,129452008 | Nonspecific interstitial pneumonia (disorder),Historic,Confirmed,No laterality
{p right ventricular diastolic dysfunction} in the past,416610007 | Right ventricular diastolic dysfunction (disorder),Historic,Confirmed,No laterality
{p nitrate vasodilator adverse reaction} previously,293540003 | Nitrate vasodilator adverse reaction (disorder),Historic,Confirmed,No laterality
not had {p accidental fentanyl overdose},295194002 | Accidental fentanyl overdose (disorder),Historic,Negated,No laterality
previously {p acute rosacea conjunctivitis},91864001 | Acute rosacea conjunctivitis (disorder),Historic,Confirmed,No laterality
