text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
mum feels {p minimal depression},718636001 | Minimal depression (disorder),Irrelevant,Confirmed,No laterality
{p atypical childhood psychoses} risk assessment,191696005 | Atypical childhood psychoses (disorder),Irrelevant,Confirmed,No laterality
{p acquired coxa valga} risk assessment,16979000 | Acquired coxa valga (disorder),Irrelevant,Confirmed,No laterality
wife had {p acute gastric ulcer},95529005 | Acute gastric ulcer (disorder),Irrelevant,Confirmed,No laterality
grandparent suffers from {p intentional cephalexin overdose},296676002 | Intentional cephalexin overdose (disorder),Irrelevant,Confirmed,No laterality
friend {p vaginitis in pregnancy},428252001 | Vaginitis in pregnancy (disorder),Irrelevant,Confirmed,No laterality
dad {p staphylococcal toxic shock syndrome},240450004 | Staphylococcal toxic shock syndrome (disorder),Irrelevant,Confirmed,No laterality
cousin suffers from {p intentional aspirin overdose},242825001 | Intentional aspirin overdose (disorder),Irrelevant,Confirmed,No laterality
fear of {p central hearing loss},68467004 | Central hearing loss (disorder),Irrelevant,Confirmed,No laterality
aunt has {p endocrine andrology disorder},276856001 | Endocrine andrology disorder (disorder),Irrelevant,Confirmed,No laterality
"{p renal glucosuria, type a} precautions","75030003 | Renal glucosuria, type A (disorder)",Irrelevant,Confirmed,No laterality
dept of {p accidental buspirone overdose},296149003 | Accidental buspirone overdose (disorder),Irrelevant,Confirmed,No laterality
dept of {p motor-scooter-handlebar syndrome},20001006 | Motor-scooter-handlebar syndrome (disorder),Irrelevant,Confirmed,No laterality
worried about {p intentional ibuprofen overdose},295252006 | Intentional ibuprofen overdose (disorder),Irrelevant,Confirmed,No laterality
daughter has {p extrinsic allergic alveolitis},37471005 | Extrinsic allergic alveolitis (disorder),Irrelevant,Confirmed,No laterality
family history of {p infection of tooth},427898007 | Infection of tooth (disorder),Irrelevant,Confirmed,No laterality
{p camptodactyly of bilateral fingers} risk score,838313006 | Camptodactyly of bilateral fingers (disorder),Irrelevant,Confirmed,Bilateral
dept of {p subjective visual disturbance},78455002 | Subjective visual disturbance (disorder),Irrelevant,Confirmed,No laterality
concerned about {p pyeloureteritis cystica},37779008 | Pyeloureteritis cystica (disorder),Irrelevant,Confirmed,No laterality
sister {p gastrointestinal anastomotic tumor recurrence},314601002 | Gastrointestinal anastomotic tumor recurrence (disorder),Irrelevant,Confirmed,No laterality
cousin has {p creosote poisoning},85871000 | Creosote poisoning (disorder),Irrelevant,Confirmed,No laterality
dept of {p invasive non-typhoidal salmonellosis},763772002 | Invasive non-typhoidal salmonellosis (disorder),Irrelevant,Confirmed,No laterality
daughter had {p suppurative tenosynovitis},430938004 | Suppurative tenosynovitis (disorder),Irrelevant,Confirmed,No laterality
ddx {p disorder of cervical spine},128049000 | Disorder of cervical spine (disorder),Irrelevant,Confirmed,No laterality
brothers has {p congenital hypertrichosis},56797000 | Congenital hypertrichosis (disorder),Irrelevant,Confirmed,No laterality
spouse has {p accidental chloramphenicol overdose},296771004 | Accidental chloramphenicol overdose (disorder),Irrelevant,Confirmed,No laterality
{p neoplasm of visceral pleura} risk assessment,126721009 | Neoplasm of visceral pleura (disorder),Irrelevant,Confirmed,No laterality
husband {p congenital anomaly of breast},83546008 | Congenital anomaly of breast (disorder),Irrelevant,Confirmed,No laterality
fear of {p accidental ferrous sulfate poisoning},291912009 | Accidental ferrous sulfate poisoning (disorder),Irrelevant,Confirmed,No laterality
ddx {p tinea kerion of beard},274083001 | Tinea kerion of beard (disorder),Irrelevant,Confirmed,No laterality
husbands suffers from {p myelopathy due to lathyrism},870291002 | Myelopathy due to lathyrism (disorder),Irrelevant,Confirmed,No laterality
fhx {p exfoliative cheilitis},235139008 | Exfoliative cheilitis (disorder),Irrelevant,Confirmed,No laterality
{p auditory seizure} risk score,61927004 | Auditory seizure (disorder),Irrelevant,Confirmed,No laterality
worried {p neuromuscular subluxation of joint},239750008 | Neuromuscular subluxation of joint (disorder),Irrelevant,Confirmed,No laterality
{p congenital upper esophageal web} risk assessment,770619007 | Congenital upper esophageal web (disorder),Irrelevant,Confirmed,No laterality
son had {p allergic colitis},30304000 | Allergic colitis (disorder),Irrelevant,Confirmed,No laterality
{p traumatic dislocation of lens} precautions,231980006 | Traumatic dislocation of lens (disorder),Irrelevant,Confirmed,No laterality
spouse feels {p injury following solvent inhalation},1065291000000107 | Injury following solvent inhalation (disorder),Irrelevant,Confirmed,No laterality
husband feels {p hepatocellular liver damage},419616000 | Hepatocellular liver damage (disorder),Irrelevant,Confirmed,No laterality
cousin suffers from {p decentralized bladder},236637001 | Decentralized bladder (disorder),Irrelevant,Confirmed,No laterality
family feels {p carcinoma of endocrine pancreas},254612002 | Carcinoma of endocrine pancreas (disorder),Irrelevant,Confirmed,No laterality
department of {p anisocoria},13045009 | Anisocoria (disorder),Irrelevant,Confirmed,No laterality
"dept of {p complete tear, coracoclavicular ligament}","209577003 | Complete tear, coracoclavicular ligament (disorder)",Irrelevant,Confirmed,No laterality
"family history of {p deficiency of alpha-dextrin endo-1,6-alpha-glucosidase}","367406009 | Deficiency of alpha-dextrin endo-1,6-alpha-glucosidase (disorder)",Irrelevant,Confirmed,No laterality
sibling has {p tuberculous epididymo-orchitis},236770001 | Tuberculous epididymo-orchitis (disorder),Irrelevant,Confirmed,No laterality
fear of {p injury following heroin use},984831000000104 | Injury following heroin use (disorder),Irrelevant,Confirmed,No laterality
family hist {p incomitant heterophoria},35319002 | Incomitant heterophoria (disorder),Irrelevant,Confirmed,No laterality
fear of {p dentoalveolar cellulitis},109612009 | Dentoalveolar cellulitis (disorder),Irrelevant,Confirmed,No laterality
husbands had {p macular and peripheral retinoschisis},232014008 | Macular and peripheral retinoschisis (disorder),Irrelevant,Confirmed,No laterality
{p complication of puncture procedure} risk assessment,363019004 | Complication of puncture procedure (disorder),Irrelevant,Confirmed,No laterality
wife {p urocanate hydratase deficiency},60952007 | Urocanate hydratase deficiency (disorder),Irrelevant,Confirmed,No laterality
differentialexplain {p fistula of mastoid},36902003 | Fistula of mastoid (disorder),Irrelevant,Confirmed,No laterality
worried {p subchronic disorganized schizophrenia},27387000 | Subchronic disorganized schizophrenia (disorder),Irrelevant,Confirmed,No laterality
relation has {p fracture of occipital bone},1739001 | Fracture of occipital bone (disorder),Irrelevant,Confirmed,No laterality
grandfather had {p rupture subscapularis tendon},209755004 | Rupture subscapularis tendon (disorder),Irrelevant,Confirmed,No laterality
family hist {p imidazole aminoaciduria},65277001 | Imidazole aminoaciduria (disorder),Irrelevant,Confirmed,No laterality
ddx {p accidental benperidol overdose},296180008 | Accidental benperidol overdose (disorder),Irrelevant,Confirmed,No laterality
wife had {p infantile refsum's disease},238062008 | Infantile Refsum's disease (disorder),Irrelevant,Confirmed,No laterality
daughter had {p scarring of papillary muscle},27007008 | Scarring of papillary muscle (disorder),Irrelevant,Confirmed,No laterality
grandparent suffers from {p tuberculosis of bronchus},186178000 | Tuberculosis of bronchus (disorder),Irrelevant,Confirmed,No laterality
explained about {p tobacco related optic neuropathy},314538009 | Tobacco related optic neuropathy (disorder),Irrelevant,Confirmed,No laterality
family hist {p poisoning caused by ketamine},10650000 | Poisoning caused by ketamine (disorder),Irrelevant,Confirmed,No laterality
mother had {p open fracture of forearm},91296001 | Open fracture of forearm (disorder),Irrelevant,Confirmed,No laterality
dept of {p micromelia},74370006 | Micromelia (disorder),Irrelevant,Confirmed,No laterality
concerned about {p chondrolysis of articular cartilage},240139008 | Chondrolysis of articular cartilage (disorder),Irrelevant,Confirmed,No laterality
department of {p minimal recurrent major depression},720451004 | Minimal recurrent major depression (disorder),Irrelevant,Confirmed,No laterality
family hist {p zinc poisoning},68582006 | Zinc poisoning (disorder),Irrelevant,Confirmed,No laterality
ddx {p pellet wound of heel},283595006 | Pellet wound of heel (disorder),Irrelevant,Confirmed,No laterality
relative feels {p ras-associated autoimmune leukoproliferative disease},723508002 | RAS-associated autoimmune leukoproliferative disease (disorder),Irrelevant,Confirmed,No laterality
{p microcephalus cardiomyopathy syndrome} risk assessment,719380003 | Microcephalus cardiomyopathy syndrome (disorder),Irrelevant,Confirmed,No laterality
{p subperiosteal abscess of mastoid} precautions,72102005 | Subperiosteal abscess of mastoid (disorder),Irrelevant,Confirmed,No laterality
daughter feels {p pseudophakic corneal edema},231922001 | Pseudophakic corneal edema (disorder),Irrelevant,Confirmed,No laterality
