text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
{p primary adenocarcinoma of parametrium} not present,721568009 | Primary adenocarcinoma of parametrium (disorder),Present,Negated,No laterality
{p sclerosing hemangioma of lung} no,707365008 | Sclerosing hemangioma of lung (disorder),Present,Negated,No laterality
{p phlebitis due to procedure} not present,789668008 | Phlebitis due to procedure (disorder),Present,Negated,No laterality
{p piroxicam overdose} neg,295291001 | Piroxicam overdose (disorder),Present,Negated,No laterality
denies {p scleroderma-associated necrotizing vasculitis},403518009 | Scleroderma-associated necrotizing vasculitis (disorder),Present,Negated,No laterality
without {p abdominal neuropathy},230647006 | Abdominal neuropathy (disorder),Present,Negated,No laterality
{p aase syndrome} not present,71988008 | Aase syndrome (disorder),Present,Negated,No laterality
never {p periprostatic adhesions},6336005 | Periprostatic adhesions (disorder),Present,Negated,No laterality
not {p cerebral arteriosclerosis},65312002 | Cerebral arteriosclerosis (disorder),Present,Negated,No laterality
no evidence of {p drug-induced insomnia},91411000119105 | Drug-induced insomnia (disorder),Present,Negated,No laterality
{p glass in trunk} none,283255008 | Glass in trunk (disorder),Present,Negated,No laterality
lack of {p parosmia},708673009 | Parosmia (disorder),Present,Negated,No laterality
absent {p unexplained visual loss},421293001 | Unexplained visual loss (disorder),Present,Negated,No laterality
{p diastasis of muscle} not detected,111248006 | Diastasis of muscle (disorder),Present,Negated,No laterality
unlikely {p oral hypoglycemic overdose},296853003 | Oral hypoglycemic overdose (disorder),Present,Negated,No laterality
{p injury following amphetamine use} none,984861000000109 | Injury following amphetamine use (disorder),Present,Negated,No laterality
{p intentional phenoperidine poisoning} ruled out,290210003 | Intentional phenoperidine poisoning (disorder),Present,Negated,No laterality
{p periurethral cellulitis} none,7253006 | Periurethral cellulitis (disorder),Present,Negated,No laterality
{p boil of penis} not present,310008 | Boil of penis (disorder),Present,Negated,No laterality
{p addison's disease} excluded,363732003 | Addison's disease (disorder),Present,Negated,No laterality
no {p cooks syndrome},720747002 | Cooks syndrome (disorder),Present,Negated,No laterality
negative {p fistula of uterus},77408009 | Fistula of uterus (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p brassica oleracea poisoning},22957009 | Brassica oleracea poisoning (disorder),Present,Negated,No laterality
{p xanthogranuloma} negative,189099001 | Xanthogranuloma (disorder),Present,Negated,No laterality
{p accidental ceftazidime poisoning} absent,291599005 | Accidental ceftazidime poisoning (disorder),Present,Negated,No laterality
{p injury following morphine use} none,1065191000000102 | Injury following morphine use (disorder),Present,Negated,No laterality
{p stenosis of stoma} negative,236119003 | Stenosis of stoma (disorder),Present,Negated,No laterality
absent {p muscular dystrophy},73297009 | Muscular dystrophy (disorder),Present,Negated,No laterality
absent {p amantadine adverse reaction},292269000 | Amantadine adverse reaction (disorder),Present,Negated,No laterality
{p neonatal systemic candidosis} ruled out,403000003 | Neonatal systemic candidosis (disorder),Present,Negated,No laterality
no {p intentional isoniazid overdose},296797005 | Intentional isoniazid overdose (disorder),Present,Negated,No laterality
negative {p intentional latamoxef poisoning},291578007 | Intentional latamoxef poisoning (disorder),Present,Negated,No laterality
denied {p maternal autoimmune hemolytic anemia},234381003 | Maternal autoimmune hemolytic anemia (disorder),Present,Negated,No laterality
no evidence of {p buccal bifurcation cyst},109552000 | Buccal bifurcation cyst (disorder),Present,Negated,No laterality
{p neoplasm of spleen} absent,127230005 | Neoplasm of spleen (disorder),Present,Negated,No laterality
{p neoplasm of pyriform sinus} excluded,126688006 | Neoplasm of pyriform sinus (disorder),Present,Negated,No laterality
without {p submucosal tumor of esophagus},415653001 | Submucosal tumor of esophagus (disorder),Present,Negated,No laterality
{p tuberculous urethritis} not detected,236684001 | Tuberculous urethritis (disorder),Present,Negated,No laterality
{p arthritis of right wrist} none,1074731000119103 | Arthritis of right wrist (disorder),Present,Negated,Right
{p application site infection} excluded,95374004 | Application site infection (disorder),Present,Negated,No laterality
{p dicephalus tripus tribrachius} absent,41132007 | Dicephalus tripus tribrachius (disorder),Present,Negated,No laterality
absent {p antidepressant drug adverse reaction},292275009 | Antidepressant drug adverse reaction (disorder),Present,Negated,No laterality
absence of {p hypertrophy of lip},643001 | Hypertrophy of lip (disorder),Present,Negated,No laterality
never {p urticaria pigmentosa},78745000 | Urticaria pigmentosa (disorder),Present,Negated,No laterality
{p lactocele} none,42385006 | Lactocele (disorder),Present,Negated,No laterality
{p thrombosed internal hemorrhoids} not present,52931009 | Thrombosed internal hemorrhoids (disorder),Present,Negated,No laterality
without {p benign non-familial neonatal convulsions},230411000 | Benign non-familial neonatal convulsions (disorder),Present,Negated,No laterality
{p idiopathic micropapular urticaria} not detected,302163009 | Idiopathic micropapular urticaria (disorder),Present,Negated,No laterality
no {p primaquine overdose},296561004 | Primaquine overdose (disorder),Present,Negated,No laterality
negative {p gastrodiscoidiasis},111923002 | Gastrodiscoidiasis (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p renal osteodystrophy},16726004 | Renal osteodystrophy (disorder),Present,Negated,No laterality
{p mild intellectual disability} no,86765009 | Mild intellectual disability (disorder),Present,Negated,No laterality
{p etodolac overdose} absent,295230002 | Etodolac overdose (disorder),Present,Negated,No laterality
{p multi-core congenital myopathy} none,55133004 | Multi-core congenital myopathy (disorder),Present,Negated,No laterality
{p neonatal rectal hemorrhage} excluded,206425006 | Neonatal rectal hemorrhage (disorder),Present,Negated,No laterality
no evidence of {p chronic perioophoritis},198141008 | Chronic perioophoritis (disorder),Present,Negated,No laterality
{p mechanical ectropion} none,45020000 | Mechanical ectropion (disorder),Present,Negated,No laterality
{p stenosis of larynx} excluded,75547007 | Stenosis of larynx (disorder),Present,Negated,No laterality
negative {p cholesteatoma of right mastoid},1091661000119108 | Cholesteatoma of right mastoid (disorder),Present,Negated,Right
{p tumor of tympanic antrum} no,254471005 | Tumor of tympanic antrum (disorder),Present,Negated,No laterality
{p neoplasm of endolymphatic sac} excluded,699817008 | Neoplasm of endolymphatic sac (disorder),Present,Negated,No laterality
{p secondary acquired megacolon} not detected,197141006 | Secondary acquired megacolon (disorder),Present,Negated,No laterality
{p superficial burn of buttock} none,211766004 | Superficial burn of buttock (disorder),Present,Negated,No laterality
