text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
arenaviral hemorrhagic fever {p injury of ulnar vein} koenig's syndrome ii,24272004 | Injury of ulnar vein (disorder),Positive,Confirmed,No laterality
dieffenbachia species poisoning {p fluocinolone adverse reaction} pure sensorimotor lacunar infarction,293163000 | Fluocinolone adverse reaction (disorder),Positive,Confirmed,No laterality
"infection - perineal wound {p sarcoid myopathy} charcot-marie-tooth disease, type i",193251003 | Sarcoid myopathy (disorder),Positive,Confirmed,No laterality
ulcer of anus {p poisoning caused by flucytosine} piperazine overdose,66491001 | Poisoning caused by flucytosine (disorder),Positive,Confirmed,No laterality
eosinophilic duodenal ulcer {p eruption cyst of jaw} cholesteatoma of attic,42323001 | Eruption cyst of jaw (disorder),Positive,Confirmed,No laterality
mycoplasma balanitis {p urachal abscess} effects of hunger,29340001000004108 | Urachal abscess (disorder),Positive,Confirmed,No laterality
benign neoplasm of back {p uncomplicated non-allergic asthma} blau syndrome,735589002 | Uncomplicated non-allergic asthma (disorder),Positive,Confirmed,No laterality
sedative amnestic disorder {p self-healing juvenile cutaneous mucinosis} episodic tension-type headache,238947008 | Self-healing juvenile cutaneous mucinosis (disorder),Positive,Confirmed,No laterality
intentional nitrous oxide overdose {p beckwith-wiedemann syndrome} mild pulmonary valve regurgitation,81780002 | Beckwith-Wiedemann syndrome (disorder),Positive,Confirmed,No laterality
problems {p familial primary pulmonary hypertension},233944003 | Familial primary pulmonary hypertension (disorder),Positive,Confirmed,No laterality
flumazenil adverse reaction {p diffuse lymphatic malformation} keloidalis nuchae,703298001 | Diffuse lymphatic malformation (disorder),Positive,Confirmed,No laterality
hazy vision {p drug-induced cicatricial pemphigoid} inferior mesenteric vein thrombosis,414061000 | Drug-induced cicatricial pemphigoid (disorder),Positive,Confirmed,No laterality
congenital hereditary endothelial dystrophy {p intermittent dysphagia} cellulitis of buttock,19597002 | Intermittent dysphagia (disorder),Positive,Confirmed,No laterality
intentional procaine overdose {p post-traumatic bruising} secondary acquired zinc deficiency,390835003 | Post-traumatic bruising (disorder),Positive,Confirmed,No laterality
"metastatic carcinoid tumor {p crush injury, breast} congenital umbilical hernia","211544008 | Crush injury, breast (disorder)",Positive,Confirmed,No laterality
structural velopharyngeal impairment {p vasomotor rhinitis} abscess of testis,8229003 | Vasomotor rhinitis (disorder),Positive,Confirmed,No laterality
infection causing subacute endocarditis {p perianal cellulitis} hypoglycemia of childhood,307425001 | Perianal cellulitis (disorder),Positive,Confirmed,No laterality
congenital posterior polar cataract {p intentional thiethylperazine overdose} fibrosarcoma of spleen,296223003 | Intentional thiethylperazine overdose (disorder),Positive,Confirmed,No laterality
pneumonia in systemic mycosis {p erythroderma in infancy} ganglion of hip,733206005 | Erythroderma in infancy (disorder),Positive,Confirmed,No laterality
problems {p trilostane poisoning},290748007 | Trilostane poisoning (disorder),Positive,Confirmed,No laterality
chondrocalcinosis of right hip {p deficiency of tannase} laceration of abdomen,124422003 | Deficiency of tannase (disorder),Positive,Confirmed,No laterality
bilateral paralysis of tongue {p tendinitis of left elbow} external iliac lymphadenopathy,12241111000119104 | Tendinitis of left elbow (disorder),Positive,Confirmed,Left
benign neoplasm of forearm {p tribavirin adverse reaction} malignant melanoma of eye,292840003 | Tribavirin adverse reaction (disorder),Positive,Confirmed,No laterality
effusion of subtalar joint {p miliaria papulosa} clindamycin adverse reaction,201192006 | Miliaria papulosa (disorder),Positive,Confirmed,No laterality
animal bite of buttock {p icteric leptospirosis} vesicular eruption,398067003 | Icteric leptospirosis (disorder),Positive,Confirmed,No laterality
acute lymphangitis of ankle {p oral contraceptive overdose} zonal bullous emphysema,296896008 | Oral contraceptive overdose (disorder),Positive,Confirmed,No laterality
congenital eventration of diaphragm {p human bite mark} hemorrhage of penis,297963000 | Human bite mark (disorder),Positive,Confirmed,No laterality
hypertyrosinemia {p alpha heavy chain disease} acquired mucociliary clearance defect,109982002 | Alpha heavy chain disease (disorder),Positive,Confirmed,No laterality
genital infection {p shunt nephritis} tuberculous abscess,37085009 | Shunt nephritis (disorder),Positive,Confirmed,No laterality
otospondylomegaepiphyseal dysplasia {p congenital positional plagiocephaly} superficial basal cell carcinoma,22301000119102 | Congenital positional plagiocephaly (disorder),Positive,Confirmed,No laterality
diverticulitis of colon {p chronic constipation} vascular calcification,236069009 | Chronic constipation (disorder),Positive,Confirmed,No laterality
phencyclidine intoxication {p fibroblastic rheumatism} seropositive erosive rheumatoid arthritis,399964004 | Fibroblastic rheumatism (disorder),Positive,Confirmed,No laterality
acute bronchitis {p occlusal trauma} 8q partial trisomy syndrome,109647001 | Occlusal trauma (disorder),Positive,Confirmed,No laterality
pulmonary paracoccidioidomycosis {p talon cusp} inherited congenital spastic tetraplegia,234955005 | Talon cusp (disorder),Positive,Confirmed,No laterality
hemifacial hyperplasia strabismus syndrome {p hyperemia of eyelid} congenital arteriovenous fistula,86573003 | Hyperemia of eyelid (disorder),Positive,Confirmed,No laterality
abscess of brain {p idiopathic generalized epilepsy} derangement of medial meniscus,36803009 | Idiopathic generalized epilepsy (disorder),Positive,Confirmed,No laterality
oculodentodigital syndrome {p cyst of abdomen} congenital lyme disease,446064000 | Cyst of abdomen (disorder),Positive,Confirmed,No laterality
problems {p perinatal disorder},415073005 | Perinatal disorder (disorder),Positive,Confirmed,No laterality
coprophilia {p minoxidil adverse reaction} proteus pneumonia,293533004 | Minoxidil adverse reaction (disorder),Positive,Confirmed,No laterality
idiopathic hyperphosphatasemia {p first degree atrioventricular block} epidemic vomiting syndrome,270492004 | First degree atrioventricular block (disorder),Positive,Confirmed,No laterality
beau's lines {p idiopathic familial dystonia} pilar cyst of scalp,230318005 | Idiopathic familial dystonia (disorder),Positive,Confirmed,No laterality
craniotabes {p ocular dysmetria} nutritional stunting in adolescence,79161002 | Ocular dysmetria (disorder),Positive,Confirmed,No laterality
problem list {p accidental hydroxyquinoline overdose},296785009 | Accidental hydroxyquinoline overdose (disorder),Positive,Confirmed,No laterality
anemia of renal disease {p nerve plexus disorder} injury of perineum,2231001 | Nerve plexus disorder (disorder),Positive,Confirmed,No laterality
anticoagulant adverse reaction {p cyst of orbit} false aneurysm of artery,31021007 | Cyst of orbit (disorder),Positive,Confirmed,No laterality
epidural lipomatosis {p phenytoin overdose} monocular elevator palsy,296003005 | Phenytoin overdose (disorder),Positive,Confirmed,No laterality
gastrointestinal anastomotic dehiscence {p congenital absence of eyelash} solitary neurofibroma,63935007 | Congenital absence of eyelash (disorder),Positive,Confirmed,No laterality
disorder of vomer {p chorda tympani disorder} primary osteosarcoma,347079002 | Chorda tympani disorder (disorder),Positive,Confirmed,No laterality
primary warm-type hemolytic anemia {p tracheitis} foramen of luschka atresia,62994001 | Tracheitis (disorder),Positive,Confirmed,No laterality
acquired diverticulum of esophagus {p uncomplicated allergic asthma} hydroxocobalamin adverse reaction,735588005 | Uncomplicated allergic asthma (disorder),Positive,Confirmed,No laterality
intentional spectinomycin poisoning {p septic thrombophlebitis in puerperium} overdose of cocaine,10759191000119106 | Septic thrombophlebitis in puerperium (disorder),Positive,Confirmed,No laterality
chondrosarcoma of skull {p abscess of epididymis} accidental idoxuridine poisoning,39729001 | Abscess of epididymis (disorder),Positive,Confirmed,No laterality
toxoplasmosis {p hypopyon ulcer} iatrogenic lymphedema,6395007 | Hypopyon ulcer (disorder),Positive,Confirmed,No laterality
right ventricular diverticulum {p delusions of infestation} circulating enzyme deficiency,238974009 | Delusions of infestation (disorder),Positive,Confirmed,No laterality
impression {p manifest convergent squint},246727004 | Manifest convergent squint (disorder),Positive,Confirmed,No laterality
malignant tumor of ovary {p non-24 hour sleep-wake cycle} drug-induced tardive dystonia,230496009 | Non-24 hour sleep-wake cycle (disorder),Positive,Confirmed,No laterality
burn of vulva {p disorder of anal canal} progressive pigmentary dermatosis,737201004 | Disorder of anal canal (disorder),Positive,Confirmed,No laterality
disorder of uveal tract {p enteroviral exanthematous fever} cyst of biliary tract,77470003 | Enteroviral exanthematous fever (disorder),Positive,Confirmed,No laterality
mixed renal osteodystrophy {p disorder of coronary artery} disorder of esophagus,414024009 | Disorder of coronary artery (disorder),Positive,Confirmed,No laterality
