text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
maybe {p strangulated femoral hernia},236030003 | Strangulated femoral hernia (disorder),Present,Suspected,No laterality
suspicion of {p fahr's syndrome},110997000 | Fahr's syndrome (disorder),Present,Suspected,No laterality
could be {p oculogastrointestinal muscular dystrophy},722060007 | Oculogastrointestinal muscular dystrophy (disorder),Present,Suspected,No laterality
suspicious {p narrow gingival width},109615006 | Narrow gingival width (disorder),Present,Suspected,No laterality
? {p fracture of zygomatic process},263165004 | Fracture of zygomatic process (disorder),Present,Suspected,No laterality
{p leakage from tenckhoff catheter} suspected,473112005 | Leakage from Tenckhoff catheter (disorder),Present,Suspected,No laterality
possible {p massive gastrointestinal bleed},307297004 | Massive gastrointestinal bleed (disorder),Present,Suspected,No laterality
suspected {p poisoning caused by psychodysleptic},85975005 | Poisoning caused by psychodysleptic (disorder),Present,Suspected,No laterality
query {p cellulitis of left hip},10629871000119108 | Cellulitis of left hip (disorder),Present,Suspected,Left
suspected {p secondary chronic nephritis},40391000119106 | Secondary chronic nephritis (disorder),Present,Suspected,No laterality
exclude {p 11p15 duplication syndrome},880079009 | 11p15 duplication syndrome (disorder),Present,Suspected,No laterality
suspected {p fredrickson type iia hyperlipoproteinemia},397915002 | Fredrickson type IIa hyperlipoproteinemia (disorder),Present,Suspected,No laterality
maybe {p proximal interphalangeal joint symphalangism},205280007 | Proximal interphalangeal joint symphalangism (disorder),Present,Suspected,No laterality
could have {p mycetoma},410039003 | Mycetoma (disorder),Present,Suspected,No laterality
could have {p furuncle of axilla},60198007 | Furuncle of axilla (disorder),Present,Suspected,No laterality
{p neoplasm of upper limb} suspected,126650009 | Neoplasm of upper limb (disorder),Present,Suspected,No laterality
may {p periodontitis co-occurrent with hypophosphatasia},709556009 | Periodontitis co-occurrent with hypophosphatasia (disorder),Present,Suspected,No laterality
{p deep transverse arrest} suspected,1343000 | Deep transverse arrest (disorder),Present,Suspected,No laterality
? {p poisoning caused by furosemide},28389000 | Poisoning caused by furosemide (disorder),Present,Suspected,No laterality
{p welders' keratitis} suspected,3282008 | Welders' keratitis (disorder),Present,Suspected,No laterality
probably {p hematoma of jejunum},282054009 | Hematoma of jejunum (disorder),Present,Suspected,No laterality
poss {p adult spinal muscular atrophy},85505000 | Adult spinal muscular atrophy (disorder),Present,Suspected,No laterality
suspected {p burn of right foot},12103791000119100 | Burn of right foot (disorder),Present,Suspected,Right
could be {p conjunctivitis caused by acanthamoeba},840484006 | Conjunctivitis caused by Acanthamoeba (disorder),Present,Suspected,No laterality
suspected {p adhesive arachnoiditis},13980006 | Adhesive arachnoiditis (disorder),Present,Suspected,No laterality
quer {p left atrial appendage aneurysm},253358003 | Left atrial appendage aneurysm (disorder),Present,Suspected,No laterality
likely {p secondary corneal edema},27536004 | Secondary corneal edema (disorder),Present,Suspected,No laterality
quer {p familial erythrocytosis},17342003 | Familial erythrocytosis (disorder),Present,Suspected,No laterality
maybe {p calcinosis},6595006 | Calcinosis (disorder),Present,Suspected,No laterality
? {p accidental ceftizoxime overdose},296718004 | Accidental ceftizoxime overdose (disorder),Present,Suspected,No laterality
suspicion of {p fibroma of tendon sheath},403992002 | Fibroma of tendon sheath (disorder),Present,Suspected,No laterality
may {p subjective pulsatile tinnitus},117421000119104 | Subjective pulsatile tinnitus (disorder),Present,Suspected,No laterality
sus {p sex phenotype-karyotype dissociation syndrome},36114005 | Sex phenotype-karyotype dissociation syndrome (disorder),Present,Suspected,No laterality
sus {p stab wound of knee},283484002 | Stab wound of knee (disorder),Present,Suspected,No laterality
may {p gonococcal bartholinitis},402957000 | Gonococcal bartholinitis (disorder),Present,Suspected,No laterality
prob {p lichen sclerosus of anus},782666006 | Lichen sclerosus of anus (disorder),Present,Suspected,No laterality
"pos {p malignant ventriculitis, brain}","230160004 | Malignant ventriculitis, brain (disorder)",Present,Suspected,No laterality
susp {p primary female infertility},5084002 | Primary female infertility (disorder),Present,Suspected,No laterality
