situationId,sitTerm,findingId,finTerm,Nsit
274826007,Nystagmus absent (situation),563001,Nystagmus (disorder),1
302064001,No lymphangitis (situation),1415005,Lymphangitis (disorder),1
846726003,No gallop rhythm (situation),2170000,Gallop rhythm (finding),1
162264002,No consciousness disturbance (situation),3006004,Disturbance of consciousness (finding),1
276451003,No dental plaque (situation),4522001,Dental plaque (disorder),1
721103006,Diabetic retinopathy of eye not detected (situation),4855003,Retinopathy due to diabetes mellitus (disorder),3
860707009,No disorder of retina of right eye due to diabetes mellitus (situation),4855003,Retinopathy due to diabetes mellitus (disorder),3
860706000,No disorder of retina of left eye due to diabetes mellitus (situation),4855003,Retinopathy due to diabetes mellitus (disorder),3
134420004,No suicidal thoughts (situation),6471006,Suicidal thoughts (finding),1
301125003,Pericardial friction rub absent (situation),7036007,Pericardial friction rub (finding),1
102905003,Absence of guilt (situation),7571003,Feeling guilt (finding),1
162154003,No urethral discharge (situation),9957009,Urethral discharge (finding),1
169450001,No contraceptive precautions (situation),13197004,Contraception (finding),1
733740006,Ischemic ulcer absent (situation),13954005,Ischemic ulcer (disorder),1
162357001,No earache (situation),16001004,Otalgia (finding),1
70790008,Absence of nausea and vomiting (situation),16932000,Nausea and vomiting (disorder),1
440565004,Not fasting (situation),16985007,Fasting (finding),1
15011000119104,History of pregnancy loss in non-pregnant woman (situation),17369002,Miscarriage (disorder),1
34189007,Absence of aura (situation),18618006,Aura (finding),1
299316003,Trendelenburg sign negative (situation),19693008,Trendelenburg sign (finding),1
289805000,No cervical discharge (situation),20036005,Cervical discharge (finding),1
281633000,Tinel's sign negative (situation),20995005,Tinel's sign (finding),1
162037008,No abdominal pain (situation),21522001,Abdominal pain (finding),1
298291002,Skeletal muscle non-tender (situation),22166009,Skeletal muscle tender (finding),1
81765008,No pain (situation),22253000,Pain (finding),1
298320009,Dysdiadochokinesis absent (situation),23133003,Dysdiadochokinesis (finding),1
371622005,Elevated blood pressure reading without diagnosis of hypertension (situation),24184005,Finding of increased blood pressure (finding),1
162298006,No headache (situation),25064002,Headache (finding),1
274547000,Visual agnosia absent (situation),25762009,Visual agnosia (disorder),1
225438003,No problems with thinking (situation),26628009,Disturbance in thinking (finding),1
299052005,Froment's sign negative (situation),26680000,Froment's sign (finding),1
473143003,Chronic disease absent (situation),27624003,Chronic disease (disorder),1
846723006,No disease of retina of eye (situation),29555009,Retinal disorder (disorder),1
161971004,Chest pain not present (situation),29857009,Chest pain (finding),1
274621000,Lymphadenopathy absent (situation),30746006,Lymphadenopathy (disorder),1
707199000,Finger clubbing absent (situation),30760008,Finger clubbing (disorder),1
274831009,Arterial bruit absent (situation),30846001,Arterial bruit (finding),1
28281004,No bacterial antibody present (situation),33779007,Bacterial antibody present (finding),1
860981000,No dehydration (situation),34095006,Dehydration (disorder),1
300434009,Cullen's sign negative (situation),35187000,Cullen's sign (finding),1
274810006,Rebound tenderness absent (situation),35611005,Rebound tenderness (finding),1
274823004,Clonus absent (situation),36649002,Clonus (finding),1
371622005,Elevated blood pressure reading without diagnosis of hypertension (situation),38341003,"Hypertensive disorder, systemic arterial (disorder)",1
299730006,Kernig's sign negative (situation),39051003,Kernig's sign (finding),1
299883008,Ankle clonus absent (situation),39055007,Ankle clonus (finding),1
708167009,No cutaneous papillomatosis (situation),39843000,Cutaneous papillomatosis (disorder),1
397680002,Absence of signs and symptoms of infection (situation),40733004,Infectious disease (disorder),1
315213009,Not a passive smoker (situation),43381005,Passive smoker (finding),1
247079003,Red reflex absent (situation),43408002,Red reflex (finding),1
297125009,Abdominal tenderness absent (situation),43478001,Abdominal tenderness (finding),1
846715009,No paralysis (situation),44695005,Paralysis (finding),1
298297003,Chvostek sign negative (situation),44717005,Chvostek sign (finding),1
846719003,No ulcer of skin (situation),46742003,Skin ulcer (disorder),1
278683009,No malocclusion (situation),47944004,Malocclusion of teeth (disorder),1
161922009,No cough (situation),49727002,Cough (finding),1
298322001,Past pointing absent (situation),49768006,Past pointing (finding),1
846755006,No hernia of abdominal cavity (situation),52515009,Hernia of abdominal cavity (disorder),1
300353003,Murphy's sign negative (situation),53566005,Murphy's sign (finding),1
473146006,Coronary arteriosclerosis excluded (situation),53741008,Coronary arteriosclerosis (disorder),1
846754005,No adventitious breath sounds (situation),53972003,Added respiratory sounds (finding),1
299887009,Patellar clonus absent (situation),54360005,Patellar clonus (finding),1
290081003,Breast non-tender (situation),55222007,Breast tenderness (finding),1
310436000,Wheeze absent (situation),56018004,Wheezing (finding),1
394926003,Heart disease excluded (situation),56265001,Heart disease (disorder),1
162069004,Abdomen not distended (situation),60728008,Swollen abdomen (finding),1
162350004,No tinnitus present (situation),60862001,Tinnitus (finding),1
162104009,Diarrhea not present (situation),62315008,Diarrhea (finding),1
161928008,Night cough absent (situation),62548007,Nocturnal cough (finding),1
285341004,Not knocked out (situation),62564004,Concussion with loss of consciousness (disorder),1
300432008,Grey Turner's sign negative (situation),62988009,Grey Turner's sign (finding),1
274807004,Nasal discharge absent (situation),64531003,Nasal discharge (finding),1
315215002,Disorder excluded (situation),64572001,Disease (disorder),3
707289003,No abnormality detected by assessment of physical health (situation),64572001,Disease (disorder),3
707290007,No abnormality detected by mental health assessment (situation),64572001,Disease (disorder),3
300890009,Swelling absent (situation),65124004,Swelling (finding),1
161953006,No hiccough (situation),65958008,Hiccoughs (finding),1
871480003,No psychosis present (situation),69322001,Psychotic disorder (disorder),1
846728002,No scarring of skin (situation),70582006,Scar of skin (disorder),1
473136009,Lipodystrophy absent (situation),71325002,Lipodystrophy (disorder),1
274832002,Abdominal rigidity absent (situation),72300008,Abdominal rigidity (finding),1
162376004,Does not snore (situation),72863001,Snoring (finding),1
315216001,Diabetes mellitus excluded (situation),73211009,Diabetes mellitus (disorder),1
304242000,No experience of bereavement (situation),74506000,Bereavement due to life event (finding),1
401268007,No evidence of mental illness (situation),74732009,Mental disorder (disorder),2
78241000119105,Suspected mental condition not found (situation),74732009,Mental disorder (disorder),2
162368001,Does not sneeze (situation),76067001,Sneezing (finding),1
15011000119104,History of pregnancy loss in non-pregnant woman (situation),77386006,Pregnant (finding),1
248553004,No obstruction of airway (situation),79688008,Respiratory obstruction (disorder),1
161966006,No palpitations (situation),80313002,Palpitations (finding),1
700424009,Aortic bruit absent (situation),82184000,Aortic bruit (finding),1
299731005,Brudzinski's sign negative (situation),82345001,Brudzinski's sign (finding),1
301281001,Coin sign absent (situation),82400004,Coin sign (finding),1
394927007,Heart failure excluded (situation),84114007,Heart failure (disorder),2
313389004,No cardiac failure (situation),84114007,Heart failure (disorder),2
846725004,No stiffness of joint (situation),84445001,Joint stiffness (finding),1
