,text,cui,name,start,end,substance_category,allergy_type,severity
0,severe egg allergy.,102263004,eggs,7,10,adverse reaction,allergy,severe
1,allergic to pineapple.,256313003,pineapple,12,21,adverse reaction,allergy,unspecified
2,meds: penicillin v 500mg qds,39359008,product containing phenoxymethylpenicillin,6,18,taking,unspecified,unspecified
3,allergies: severe severe depression with co-tenidone.,18037411000001106,co-tenidone,41,52,adverse reaction,allergy,severe
4,allergies: severe liver palms with cannabidiol.,35022511000001100,cannabidiol,35,46,adverse reaction,allergy,severe
5,allergies: severe oral dyspraxia with dapoxetine.,17009111000001108,dapoxetine,38,48,adverse reaction,allergy,severe
6,allergies: severe postcholecystectomy diarrhea with pneumococcal vaccine.,9894911000001101,pneumococcal vaccine,52,72,adverse reaction,allergy,severe
7,allergies: severe ménière's disease with multivitamin capsules.,10328511000001105,multivitamin capsules,41,62,adverse reaction,allergy,severe
8,allergies: severe anxiety disorder with benzathine benzylpenicillin.,13294901000001107,benzathine benzylpenicillin,40,67,adverse reaction,allergy,severe
9,allergies: severe onychogryposis with crizanlizumab.,39950511000001101,crizanlizumab,38,51,adverse reaction,allergy,severe
10,allergies: severe depressive disorder with sodium valproate.,10049011000001109,sodium valproate,43,59,adverse reaction,allergy,severe
11,allergies: severe dyspnea with glycerol phenylbutyrate.,34610511000001109,glycerol phenylbutyrate,31,54,adverse reaction,allergy,severe
12,allergies: severe cochlear hydrops with fremanezumab.,37223811000001103,fremanezumab,40,52,adverse reaction,allergy,severe
13,allergies: severe persistent vomiting with guar gum.,13297801000001106,guar gum,43,51,adverse reaction,allergy,severe
14,allergies: severe acute cheiropodopompholyx with homeopathic sulphur.,10258411000001104,homeopathic sulphur,49,68,adverse reaction,allergy,severe
15,allergies: severe parotid swelling with polatuzumab vedotin.,38221711000001102,polatuzumab vedotin,40,59,adverse reaction,allergy,severe
16,allergies: severe hemorrhagic gastroenteritis with inotuzumab ozogamicin.,34665611000001104,inotuzumab ozogamicin,51,72,adverse reaction,allergy,severe
17,allergies: severe rubelliform eruption with grass pollen.,10568011000001108,grass pollen,44,56,adverse reaction,allergy,severe
18,allergies: severe palpitations with toiletries gel.,7527211000001104,toiletries gel,36,50,adverse reaction,allergy,severe
19,allergies: severe lipedematous alopecia with emulsifying ointment.,14608311000001101,emulsifying ointment,45,65,adverse reaction,allergy,severe
20,allergies: severe waterbrash with magnesium chloride.,15531411000001106,magnesium chloride,34,52,adverse reaction,allergy,severe
21,allergies: severe blurred vision with semaglutide.,36491911000001102,semaglutide,38,49,adverse reaction,allergy,severe
22,allergies: severe acid reflux with measles vaccine.,11474211000001103,measles vaccine,35,50,adverse reaction,allergy,severe
23,adverse reaction to arginine (intol) - mild tummy ache.,9900511000001105,arginine,20,28,adverse reaction,intolerance,mild
24,adverse reaction to susoctocog alfa (intolerance) - mild tummy ache.,32687311000001105,susoctocog alfa,20,35,adverse reaction,intolerance,mild
25,adverse reaction to inclisiran (intol) - mild tummy ache.,39494511000001103,inclisiran,20,30,adverse reaction,intolerance,mild
26,adverse reaction to potassium hydroxide (intol) - mild tummy ache.,22554111000001100,potassium hydroxide,20,39,adverse reaction,intolerance,mild
27,adverse reaction to multinutrient tablets (intol) - mild tummy ache.,7525511000001105,multinutrient tablets,20,41,adverse reaction,intolerance,mild
28,adverse reaction to lipoic acid (intolerance) - mild tummy ache.,10820011000001102,lipoic acid,20,31,adverse reaction,intolerance,mild
