text,cui,name,start,end,relevance,presence,laterality (generic)
decidual endometritis from age 12,75585005,decidual endometritis,0,21,historic,confirmed,none
bilateral metatarsus adductus prev,15667441000119108,bilateral metatarsus adductus,0,29,historic,confirmed,bilateral
crohn's disease of pylorus a few years previously,61424003,crohn's disease of pylorus,0,26,historic,confirmed,none
no prev hist of congenital facial nerve palsy,230542008,congenital facial nerve palsy,16,45,historic,negated,none
no prev hx accidental fusidic acid overdose,296643001,accidental fusidic acid overdose,11,43,historic,negated,none
benign neoplasm of rib last 8 months,92326008,benign neoplasm of rib,0,22,historic,confirmed,none
chronic lymphangitis upto age 63,78973009,chronic lymphangitis,0,20,historic,confirmed,none
contact granuloma of larynx few yrs previously,12181000119103,contact granuloma of larynx,0,27,historic,confirmed,none
reflux gastritis last 1 mth,57433008,reflux gastritis,0,16,historic,confirmed,none
prev hist inflammation of spermatic cord,737173008,inflammation of spermatic cord,10,40,historic,confirmed,none
acquired unequal arm length in the past,203602007,acquired unequal arm length,0,27,historic,confirmed,none
disorder of eye proper upto aged 45,371405004,disorder of eye proper,0,22,historic,confirmed,none
atrial dilatation when aged 13,82608003,atrial dilatation,0,17,historic,confirmed,none
lupus erythematosus tumidus few yrs ago,200941006,lupus erythematosus tumidus,0,27,historic,confirmed,none
rabies while age 5,14168008,rabies,0,6,historic,confirmed,none
freq acute mastoiditis with complication,111538005,acute mastoiditis with complication,5,40,historic,confirmed,none
rheumatic fever few yrs ago,58718002,rheumatic fever,0,15,historic,confirmed,none
cellulitis of sublingual space when aged 12,109811000,cellulitis of sublingual space,0,30,historic,confirmed,none
pers history fenoprofen poisoning,290251001,fenoprofen poisoning,13,33,historic,confirmed,none
pseudoephedrine adverse reaction previously,292482005,pseudoephedrine adverse reaction,0,32,historic,confirmed,none
cyst of ciliary body last 12 mths,85366002,cyst of ciliary body,0,20,historic,confirmed,none
no past history sleep disturbance in infancy,4681000119100,sleep disturbance in infancy,16,44,historic,negated,none
personal history hypertensive renal disease,38481006,hypertensive renal disease,17,43,historic,confirmed,none
acute endogenous lipoid pneumonia recovered,1010650005,acute endogenous lipoid pneumonia,0,33,historic,confirmed,none
2 prev acute prostatitis,79411002,acute prostatitis,7,24,historic,confirmed,none
recurrent subluxation of joint at 21 yrs of age,239748000,recurrent subluxation of joint,0,30,historic,confirmed,none
"past medical history hypervitaminosis, b complex",29405003,"hypervitaminosis, b complex",21,48,historic,confirmed,none
no history fuhrmann syndrome,721296004,fuhrmann syndrome,11,28,historic,negated,none
1 previous transient ischemic colitis,235845003,transient ischemic colitis,11,37,historic,confirmed,none
nonspecific interstitial pneumonia until 42 yr old,129452008,nonspecific interstitial pneumonia,0,34,historic,confirmed,none
right ventricular diastolic dysfunction in the past,416610007,right ventricular diastolic dysfunction,0,39,historic,confirmed,none
nitrate vasodilator adverse reaction previously,293540003,nitrate vasodilator adverse reaction,0,36,historic,confirmed,none
not had accidental fentanyl overdose,295194002,accidental fentanyl overdose,8,36,historic,negated,none
previously acute rosacea conjunctivitis,91864001,acute rosacea conjunctivitis,11,39,historic,confirmed,none
neuroleptic-induced acute dystonia recovered,83465002,neuroleptic-induced acute dystonia,0,34,historic,confirmed,none
several hepatitis in yellow fever,197342009,hepatitis in yellow fever,8,33,historic,confirmed,none
pancarditis when age 20,62185008,pancarditis,0,11,historic,confirmed,none
prev paroxysmal ocular dyskinesia,77436004,paroxysmal ocular dyskinesia,5,33,historic,confirmed,none
freq acute lymphangitis of finger,10630511000119108,acute lymphangitis of finger,5,33,historic,confirmed,none
transient visual loss in the past,36994005,transient visual loss,0,21,historic,confirmed,none
1 prev acute nervous system disorder,127341005,acute nervous system disorder,7,36,historic,confirmed,none
not had anomaly of placenta,33552005,anomaly of placenta,8,27,historic,negated,none
small intestinal stasis syndrome in the past,62198004,small intestinal stasis syndrome,0,32,historic,confirmed,none
edema of lower eyelid last 6 months,700327003,edema of lower eyelid,0,21,historic,confirmed,none
3 prev diarrhea-negative hemolytic uremic syndrome,373422007,diarrhea-negative hemolytic uremic syndrome,7,50,historic,confirmed,none
personal history alstrom syndrome,63702009,alstrom syndrome,17,33,historic,confirmed,none
3 previous tendinitis of bilateral hips,15674961000119103,tendinitis of bilateral hips,11,39,historic,confirmed,bilateral
1 prev severe acute respiratory infection,707224005,severe acute respiratory infection,7,41,historic,confirmed,none
acute-on-chronic hypercapnic respiratory failure recovered,7361000175106,acute-on-chronic hypercapnic respiratory failure,0,48,historic,confirmed,none
excessive sexual drive in the past,268724009,excessive sexual drive,0,22,historic,confirmed,none
prev hx of acute hematoma of pinna,302906000,acute hematoma of pinna,11,34,historic,confirmed,none
acute cholangiohepatitis recovered,370490006,acute cholangiohepatitis,0,24,historic,confirmed,none
not had madarosis of eyelid,34887006,madarosis of eyelid,8,27,historic,negated,none
no ph of superficial injury of genitalia,283038004,superficial injury of genitalia,9,40,historic,negated,none
several acute congestive heart failure,10633002,acute congestive heart failure,8,38,historic,confirmed,none
familial expansile osteolysis few yr previously,254153009,familial expansile osteolysis,0,29,historic,confirmed,none
never had pustular acne,59172008,pustular acne,10,23,historic,negated,none
developmental motor speech disorder at aged 8,229700007,developmental motor speech disorder,0,35,historic,confirmed,none
deltoid tendinitis recovered,300947009,deltoid tendinitis,0,18,historic,confirmed,none
no pmh of nephronophthisis type 6,447335007,nephronophthisis type 6,10,33,historic,negated,none
disorder of endocrine gonad last 5 mths,127345001,disorder of endocrine gonad,0,27,historic,confirmed,none
q fever aseptic meningitis from 13 yr o,409555000,q fever aseptic meningitis,0,26,historic,confirmed,none
